Meta,Framework/Model,Core Value,Philosophical Foundation,Contextual Role,Practical Application,Metrics,Impact,Weight
PhD Framework,Hinrichs Framework for Trust-Based AI Governance,Autonomy,Respects individual decision-making and sovereignty,Strengthens control over personal data and balanced policies,Strengthens control over personal data and balanced policies,Percentage of systems with user-controlled data policies.,Increased user empowerment and data protection.,3
PhD Framework,Hinrichs Framework for Trust-Based AI Governance,Empathy,Humanistic ethic fosting understanding and care.,Promotes user-centered design and equitable decision-making,Promotes user-centered design and equitable decision-making,Percentage of user-centered designs adopted.,Enhanced user satisfaction and equitable outcomes.,3
PhD Framework,Hinrichs Framework for Trust-Based AI Governance,Innovation,Balanaces creativity with ethical foresight,Ensures responsible development of emerging technologies,Ensures responsible development of emerging technologies,Number of innovations with documented ethical foresight.,Responsible innovation leading to reduced risks.,4
PhD Framework,Hinrichs Framework for Trust-Based AI Governance,Integrity,Alignment of principles and actions,Builds trust and consistency in professional roles,Builds trust and consistency in professional roles,Percentage of audits showing consistent ethical practices.,Strengthened public and organizational trust.,5
PhD Framework,Hinrichs Framework for Trust-Based AI Governance,Justice,Ethical fairness and equitable treatment,Ensures policy enforcement and equitable resource access,Ensures policy enforcement and equitable resource access,Percentage of policies promoting equitable treatment.,Reduced bias and improved fairness in outcomes.,4
PhD Framework,Hinrichs Framework for Trust-Based AI Governance,Trust,Foundational ethic promoting reliance and interdependence,Ensures system reliability and builds organizational cohesion,Ensures system reliability and builds organizational cohesion,Percentage of systems rated reliable by users.,Increased user confidence and reduced downtime.,5
Corporate,IBM AI Ethics Board and Advocacy,Ethical Oversight,"Fostering ethical development through oversight, advocacy, and stakeholder engagement.",Engaging cross-sector partnerships to advocate for responsible AI practices.,Collaborating with policymakers to set global standards for ethical AI.,Increase in global partnerships and ethical policy influence through advocacy.,Global recognition as a thought leader in ethical AI governance.,5
Corporate,IBM AI Fairness 360 (AIF360) Toolkit,Fairness,Promoting fairness by addressing bias and inequities in AI decision-making processes.,Embedding fairness metrics and bias detection into AI tools for diverse applications.,Using AIF360 to evaluate bias in datasets and ensure equitable outcomes.,Percentage reduction in biases detected using AIF360 tools.,Measurable improvements in fairness across industries using AI solutions.,4
Corporate,IBM Explainability 360 (E360) Toolkit,Transparency,Advocating for transparency by enabling clear and interpretable AI systems.,Providing tools and resources to help developers create interpretable AI systems.,Implementing E360 to create AI systems that are explainable to non-technical users.,Number of organizations adopting E360 for AI transparency.,Increased transparency and stakeholder confidence in AI outcomes.,5
Corporate,IBM Principles for Trust and Transparency,Trust and Accountability,Building trust through responsible AI deployment and ensuring accountability for outcomes.,Establishing IBM as a leader in trustworthy AI for businesses and governments.,Deploying AI systems for industries with built-in trust and risk mitigation protocols.,Number of trusted AI systems deployed and stakeholder satisfaction levels.,Enhanced public and organizational trust in AI-driven decisions.,5
Corporate,IBM Watson AI Governance Framework,Governability,"Ensuring AI systems are controllable, safe, and governable in critical applications.","Enabling oversight and accountability in sectors like healthcare, finance, and public services.",Developing governance tools within Watson AI to align with regulatory requirements.,Compliance rates with regulatory frameworks through Watson AI tools.,Improved compliance and safety in critical AI applications.,4
Academia,IIT AI and Ethics Research Center,Human-Centered Design,Aligning AI with Indian cultural values of collective well-being and sustainable progress.,Focuses on embedding ethical considerations into AI technologies for Indian public services.,"Human-centered AI tools for public sector projects, such as smart city development.",Adoption rates of human-centered AI technologies in public service projects.,Improved public trust and societal alignment with AI systems.,5
Academia,IIT AI for Bharat Initiative,Social Good,Prioritizing AI solutions for societal challenges such as rural development and public health.,"Develops AI applications to address agriculture, education, and healthcare disparities.",AI applications for healthcare diagnostics in rural areas and optimizing crop yields in agriculture.,Demonstrable improvements in rural healthcare outcomes and agricultural efficiency.,Measurable enhancements in rural development and public health metrics.,4
Academia,IIT AI for Social Equity and Inclusion Program,Equity and Inclusion,"Promoting equitable access to AI technologies, especially for marginalized and underrepresented groups.",Bridges digital divides by designing AI systems accessible to rural and economically disadvantaged communities.,Programs to empower women and marginalized groups with access to AI education and applications.,Increased AI education participation rates among marginalized groups.,Reduced inequalities in access to AI education and resources.,4
Academia,IIT Data Privacy and Security Framework,Privacy and Security,Ensuring robust protections for personal data to build trust and accountability in AI systems.,Protects sensitive data while fostering trust in AI through compliance with global privacy standards.,Development of secure AI frameworks for industries managing sensitive data in sectors like banking and healthcare.,Compliance rates with privacy regulations and reduction in data breaches.,Strengthened data protection and public confidence in AI-driven industries.,4
Academia,IIT Explainable and Ethical AI Research Initiative,Transparency and Explainability,"Making AI systems interpretable and accessible to diverse stakeholders, ensuring fair decision-making.",Enhances trust in AI systems by fostering explainability in AI-driven decision-making.,Workshops on building explainable AI tools and techniques for diverse stakeholders in academia and industry.,Number of explainable AI frameworks implemented in key sectors.,Enhanced transparency and stakeholder trust in AI-driven systems.,5
Professional Associations,ISACA,Integrity,Maintaining proficiency in one's field and undertaking only activities that can be completed with the necessary skills and knowledge.,Ensuring skill adequacy,Ensuring skill adequacy,Percentage of policies promoting equitable treatment.,Reduced bias and improved fairness in outcomes.,4
Professional Associations,ISACA,Confidentiality,"Maintaining the privacy and confidentiality of information obtained during professional activities, unless disclosure is legally required.",Keeping information secure,Keeping information secure,Percentage of systems with user-controlled data policies.,Increased user empowerment and data protection.,3
Professional Associations,ISACA,Objectivity and Professional Care,"Performing duties with impartiality, due diligence, and professional care, in line with professional standards.",Maintaining objectivity,Maintaining objectivity,Percentage of audits showing consistent ethical practices.,Strengthened public and organizational trust.,5
Professional Associations,ISACA,Professional Education,,Promoting knowledge sharing and educational initiatives.,Promoting knowledge sharing and educational initiatives.,Number of incidents resolved with accountability measures.,Improved public trust in governance systems.,4
Professional Associations,ISACA,Stakeholder Service,Serving stakeholders lawfully while upholding high standards of conduct and character.,Serving ethically,Serving ethically,Number of innovations with documented ethical foresight.,Responsible innovation leading to reduced risks.,4
Professional Associations,ISACA,Support for Standards,Encouraging adherence to appropriate standards and procedures for effective governance and management of enterprise information systems and technology.,Promoting compliance,Promoting compliance,Percentage of user-centered designs adopted.,Enhanced user satisfaction and equitable outcomes.,3
Professional Associations,ISACA,Transparency,,Providing clear and comprehensive reports to stakeholders.,Providing clear and comprehensive reports to stakeholders.,Percentage of systems rated reliable by users.,Increased user confidence and reduced downtime.,5
Religion,Isla Amanah (Trust),Trustworthiness,"Trust as a divine mandate, highlighting the ethical responsibility of developers and users in handling AI.","Guides data protection, emphasizing respect for privacy and integrity in AI operations.",Establishing robust data privacy protocols aligned with ethical standards.,Public trust scores in AI applications based on transparency and security measures.,Strengthened trust in AI systems through adherence to ethical principles.,4
Religious Organizations,Islam,Trust and Accountability,"Emphasis on ethical responsibility, fairness, and mutual trust.",Ensuring ethical designs,Ensuring ethical designs,Percentage of audits showing consistent ethical practices.,Strengthened public and organizational trust.,5
Religion,Islam Adl (Justice),Accountability,"Accountability is central to Islamic teachings, emphasizing responsibility for decisions and actions.",Promotes the establishment of mechanisms to ensure accountability in AI governance.,"Integrating accountability measures in AI governance, such as explainability and traceability mechanisms.",Percentage of AI systems with accountability and traceability features implemented.,"Increased accountability in AI governance, fostering public confidence.",5
Religion,Islam Hikmah (Wisdom),Foresight,"Fostering a prudent and wise approach to technology, balancing innovation with long-term societal impacts.","Encourages cautious development of AGI, addressing potential risks to society and ethical boundaries.",Using AI in strategic foresight initiatives to anticipate and mitigate long-term societal risks.,Reduction in identified risks associated with AGI development.,"Mitigation of long-term risks associated with AGI development, ensuring societal resilience.",4
Religion,Islam Maslahah (Public Interest),Public Interest,Guided by the principle that technologies should serve the greater good of society.,"Aligns AI development with societal goals, such as healthcare, education, and economic equity.","Creating AI systems that address societal challenges, such as poverty alleviation and disaster response.",Number of AI initiatives addressing societal challenges aligned with maslahah principles.,Enhanced societal well-being through targeted AI solutions addressing key challenges.,4
Religion,Islamic Ethical Principles in Technology,Justice,"Rooted in Quranic emphasis on fairness and equity, ensuring ethical treatment of all individuals.","Ensures that AI systems uphold fairness, reducing bias in decision-making processes.","Developing fairness assessment tools for AI applications in hiring, lending, and criminal justice.",Reduction in biased outcomes in AI-driven systems.,"Improved equity in AI applications, promoting social justice and fairness.",5
Religious Organizations,Judaism,Justice and Equity,"Commitment to fairness, inclusivity, and the repair of the world.",Building accountability,Building accountability,Percentage of user-centered designs adopted.,Enhanced user satisfaction and equitable outcomes.,3
Religion,Judaism Halakhic Perspectives on Technology,Justice and Equity,"Rooted in the Talmudic emphasis on fairness and justice, guiding ethical decisions in AI to reduce disparities.","Advocates for algorithmic fairness, ensuring AI systems do not perpetuate systemic inequalities.","Bias mitigation tools in AI systems to ensure equitable outcomes in hiring, lending, and healthcare.",Reduction in disparities in AI-driven decisions across demographics.,"Enhanced equity in AI applications, reducing systemic biases and promoting social justice.",5
Religion,Judaism Principles of Tikkun Olam,Human Responsibility,"Encourages humanity to take active stewardship in repairing the world, aligning AI with collective well-being.","Aligns AI development with societal goals, particularly in addressing health, environmental, and economic challenges.","Developing AI technologies that prioritize societal welfare, such as systems for disaster response or climate change mitigation.",Number of AI initiatives addressing societal challenges aligned with tikkun olam principles.,Improved societal outcomes through the application of AI in addressing global challenges.,4
Religion,Judiasm Pikuach Nefesh (Preservation of Life),Preservation of Life,"Prioritizes life-saving applications, reflecting the Jewish legal principle that preservation of life overrides other concerns.","Guides the use of AI in healthcare, defense, and other critical areas to prioritize human safety and well-being.",AI-driven diagnostic tools in healthcare to improve access to life-saving technologies.,Percentage of life-saving AI technologies implemented in healthcare and public safety.,Greater trust in AI technologies due to their alignment with life-preserving principles.,5
Religion,Judiasm Rabbinical Reflections on Privacy and Justice,Privacy and Dignity,"Grounded in halakhic traditions that emphasize privacy, confidentiality, and respect for individual autonomy.","Promotes ethical data governance, ensuring AI respects privacy and prevents misuse of personal information.",Data protection frameworks to ensure compliance with privacy standards and ethical use of sensitive information.,Compliance rates with privacy regulations and public trust in data governance systems.,Increased public confidence in AI systems respecting individual privacy and dignity.,4
Publications,Mauer & Skoudis,Accountability,Taking responsibility for actions and their outcomes.,Establishing clear protocols for accountability,Establishing clear protocols for accountability,Percentage of user-centered designs adopted.,Enhanced user satisfaction and equitable outcomes.,3
Publications,Mauer & Skoudis,Collaboration,Working jointly with others to achieve common goals.,Sharing best practices,Sharing best practices,Number of innovations with documented ethical foresight.,Responsible innovation leading to reduced risks.,4
Publications,Mauer & Skoudis,Adaptability,Ongoing pursuit of knowledge to adapt to evolving challenges.,Staying updated with trends,Staying updated with trends,Percentage of systems with user-controlled data policies.,Increased user empowerment and data protection.,3
Publications,Mauer & Skoudis,Human-Centric Focus,Recognizing the inherent value of individuals and prioritizing human welfare.,Designing systems to prioritize safety and privacy,Designing systems to prioritize safety and privacy,Percentage of systems rated reliable by users.,Increased user confidence and reduced downtime.,5
Publications,Mauer & Skoudis,Integrity,Adherence to moral and ethical principles; honesty.,Ensuring truthful actions,Ensuring truthful actions,Percentage of policies promoting equitable treatment.,Reduced bias and improved fairness in outcomes.,4
Publications,Mauer & Skoudis,Respect for Privacy,Honoring individuals' rights to control their personal information.,Implementing data protection,Implementing data protection,Percentage of systems rated reliable by users.,Increased user confidence and reduced downtime.,5
Publications,Mauer & Skoudis,Service and Protection,Commitment to safeguarding systems and data for the benefit of society.,Implementing robust security protocols,Implementing robust security protocols,Number of incidents resolved with accountability measures.,Improved public trust in governance systems.,4
Publications,Mauer & Skoudis,Trustworthiness,Building and maintaining trust through consistent and ethical behavior.,Transparent communication,Transparent communication,Percentage of audits showing consistent ethical practices.,Strengthened public and organizational trust.,5
Corporate,Meta AI for Connectivity and Equity,Equity and Accessibility,Expanding digital access and reducing disparities in AI benefits globally.,Focuses on connecting underserved communities through AI-driven initiatives.,AI initiatives like Internet.org to expand access to connectivity and digital services.,Increase in connectivity rates and digital inclusion in underserved regions.,Expanded access to digital resources and AI benefits for marginalized populations.,4
Corporate,Meta Bias Mitigation Program,Fairness,Reducing algorithmic bias to ensure fairness and equitable treatment across demographics.,Guides development and deployment of AI systems to reduce systemic inequalities.,Conducting research on fairness in content moderation and recommendation systems.,Reduction in bias metrics for AI models used in content recommendation.,Measurable reductions in systemic biases across AI applications.,4
Corporate,Meta Data Privacy Framework,Privacy and Security,Ensuring robust protections for user data to uphold trust and autonomy.,Prioritizes data security and compliance with privacy regulations.,"Developing privacy-preserving AI techniques, such as differential privacy.",Percentage of AI systems compliant with global data privacy standards.,Strengthened data protections and compliance with global privacy standards.,5
Corporate,Meta Responsible AI Principles,Accountability,Promoting ethical responsibility for the design and deployment of AI technologies.,Establishes oversight and governance mechanisms for ethical AI practices.,Implementing AI ethics reviews and accountability audits for major projects.,Number of accountability audits completed annually across AI projects.,Enhanced public trust and alignment with ethical AI governance.,5
Corporate,Meta Transparency Initiative,Transparency,Enabling users and stakeholders to understand AI systems and their decision-making processes.,Supports user trust and ethical engagement through AI transparency measures.,Publishing transparency reports and open-source explainability tools.,Number of transparency tools and reports released for public engagement.,Improved stakeholder trust through greater transparency and accountability.,5
Corporate,Microsoft AI for Good Initiative,Social Impact,Harnessing AI to address societal challenges and promote global good.,"Focuses on projects addressing sustainability, healthcare, and accessibility.","AI applications for accessibility, carbon tracking, and disaster response systems.",Number of initiatives demonstrating measurable improvements in societal outcomes.,Significant societal benefits across environmental and healthcare sectors.,4
Corporate,Microsoft Diversity and Inclusion in AI Initiative,Equity and Inclusion,Promoting fairness and diversity in AI development and deployment.,Develops tools and practices to address biases and ensure equitable outcomes.,Bias detection tools and diversity-focused hiring practices in AI development teams.,Reduction in bias metrics and increased diversity in AI teams.,Reduced disparities in AI outcomes and improved representation in development.,4
Corporate,Microsoft Ethical AI Research Division,Transparency,"Providing clarity on AI system design, processes, and decisions.",Enhances trust in AI systems by enabling interpretability and user understanding.,Publishing transparency reports and providing documentation for AI models.,Percentage of AI systems with published transparency documentation.,Enhanced stakeholder confidence in AI system reliability and fairness.,5
Corporate,Microsoft Open AI Collaboration,Collaboration,Fostering partnerships to advance ethical AI innovations.,"Supports global collaboration with academia, industry, and government for AI ethics.",Collaborative research with OpenAI and other organizations to address ethical challenges.,Number of research collaborations and ethical standards co-authored.,Broader consensus on ethical standards and innovative solutions.,4
Corporate,Microsoft Responsible AI Standards,Accountability,Ensuring ethical responsibility for AI outcomes through oversight and governance.,Establishes internal governance and external compliance to hold systems accountable.,"Development of AI systems with built-in oversight mechanisms, such as explainable AI.",Number of AI systems audited for ethical compliance annually.,Strengthened public trust and improved governance frameworks.,5
Academia,MIT AI Policy Research Lab,Transparency,Foundational ethic promoting openness,Ensures AI systems and their decision-making processes are comprehensible,Development of Explainable AI (XAI) tools to clarify algorithms used in decision-critical areas such as law enforcement and healthcare.,Number of XAI tools adopted across industries,Improved decision-making clarity and reduced trust barriers in high-stakes environments,4
Academia,MIT CSAIL,Human Centricity,Fostering collaboration between humans and AI,Develops AI systems designed to augment rather than replace human decision-making,"Human-AI collaborative projects in healthcare (e.g., diagnostics tools that assist rather than replace clinicians).",User satisfaction surveys in co-designed AI tools,Reduced errors in collaborative decision-making systems,5
Academia,MIT Ethical AI Framework,Privacy,Ethical data handling and confidentiality,Promotes responsible data management practices to protect individual rights,"Development of privacy-preserving AI models in healthcare, ensuring ethical compliance with data protection laws (e.g., HIPAA, GDPR).",Percentage of models using privacy-preserving techniques,Improved public trust and reduced misuse of personal data,5
Academia,MIT Media Lab,Responsibility,User-centric and socially responsible design,Promotes systems that respect cultural diversity and reduce harm,"Projects addressing the ethical challenges of AI in media manipulation (e.g., deepfake detection and regulation).",Adoption rate of ethical design tools,Increased resilience against harmful media effects and misinformation,4
Academia,MIT Schwarzman College,Fairness,Commitment to fairness,Reduces algorithmic discrimination across demographic groups,"Bias evaluation tools integrated into AI hiring platforms, reducing inequitable hiring practices.",Reduction in biased outcomes across demographics,Enhanced equity and fairness in AI-driven systems,5
Academia,MIT Technology and Policy Program,Equity,Addressing disparities in AI access,Expands access to AI technologies for underrepresented communities,Community outreach and tech transfer initiatives to bring AI solutions to underserved regions.,AI access rates in underserved populations,Increased societal equity and inclusion in technology,4
Government (Intergovernmental Organization),NATO AI Ethics Guidelines,Accountability,Ethical responsibility and transparency in military AI applications,"Ensures accountability in AI decisions, especially in military operations",Establishing accountability frameworks for AI deployment in defense,Number of successful accountability audits in AI systems,Increased trust and reduced misuse of AI technologies in defense,5
Government (Intergovernmental Organization),NATO AI for Security and Reliability,Security and Reliability,"Ensuring AI systems are secure, reliable, and resilient in defense contexts","Fosters the development of AI systems that are secure and reliable, particularly in defense and security",Implementing reliability and security measures in AI-driven defense technologies,Frequency of AI system failures and success in implementing security protocols,Reduced risks and improved societal trust in AI-driven defense applications,5
Government (Intergovernmental Organization),NATO AI Principles for Defense,Transparency,Fostering trust through explainability and openness in AI decision-making,"Supports the development of AI systems that are transparent, explainable, and accountable",Development of explainability tools for defense-related AI systems,Frequency of successful audits and public satisfaction with transparency,Improved public and organizational trust in defense AI,5
Government (Intergovernmental Organization),NATO AI Transparency and Accountability Framework,Ethical Oversight,Ensuring human oversight of AI-driven decisions in high-stakes military applications,Promotes oversight in the use of AI technologies in military applications,Creating frameworks that ensure AI decision-making is monitored by humans,Percentage of military AI systems with human oversight mechanisms,Increased oversight and accountability in AI systems used in military contexts,4
Government (Intergovernmental Organization),NATO Autonomous Weapons Systems Guidelines,Autonomy,Ensuring that AI systems in defense comply with international law,Guides the use of autonomous weapon systems in adherence to international humanitarian law,Developing protocols to ensure AI systems adhere to ethical standards in military operations,Compliance rates of autonomous weapon systems with international law,Ensures compliance with humanitarian laws and reduces risks of misuse,5
Government (Intergovernmental Organization),NATO Principles of Responsible Use for AI in Defence,Bias Mitigation,"Rooted in principles of justice and fairness, addressing systemic biases in defense-related AI applications.",Proactively addresses fairness and equity in defense AI systems by minimizing biases in data and algorithms.,Embedding bias detection and mitigation tools into AI development pipelines for defense applications.,Bias detection rate in AI systems; Reduction in biased outcomes across demographic groups in defense operations.,"Promotes fairness and equity in defense AI applications, reducing systemic biases and fostering justice.",4
Government (Intergovernmental Organization),NATO Principles of Responsible Use for AI in Defence,Explainability and Traceability,"Ensures transparency and understanding of AI processes, aligning with ethical imperatives of trust and clarity.",Requires that AI decision-making processes be understandable and decisions traceable to promote trust in critical operations.,Designing AI systems with built-in explainability features and maintaining transparent decision-making trails.,Proportion of explainable AI systems in use; Traceability scores for AI-driven decisions.,"Increases operational transparency, fostering trust and reducing skepticism in defense AI systems.",5
Government (Intergovernmental Organization),NATO Principles of Responsible Use for AI in Defence,Governability,Mandates human control and ethical governance to mitigate unintended consequences and maintain operational integrity.,Implements control measures to deactivate AI systems or mitigate risks in high-stakes scenarios.,Creating mechanisms to deactivate or override AI systems in emergencies or high-risk scenarios.,Number of AI systems with deactivation mechanisms; Incidents mitigated through governability controls.,"Mitigates risks in critical defense operations, ensuring human control over AI systems.",5
Government (Intergovernmental Organization),NATO Principles of Responsible Use for AI in Defence,Lawfulness,Grounded in international humanitarian law and global legal standards to ensure compliance and respect for human rights.,Ensures AI systems in defense adhere to international legal frameworks and do not violate human rights.,Ensuring compliance of AI systems with international humanitarian law and ethical standards in military operations.,Percentage of AI systems compliant with international law; Frequency of legal violations by AI systems.,"Ensures AI systems respect human rights and legal norms, fostering trust in their deployment.",5
Government (Intergovernmental Organization),NATO Principles of Responsible Use for AI in Defence,Reliability,"Derived from ethical prudence and reliability, prioritizing consistent and dependable system performance.",Demands robust design standards to ensure consistent and dependable operation in defense contexts.,"Establishing reliability benchmarks for AI systems in defense applications, such as autonomous weapons.",Frequency of system failures in critical operations; Reliability scores based on performance benchmarks.,Strengthens confidence in AI systems by ensuring reliable and consistent performance in high-stakes scenarios.,4
Government (Intergovernmental Organization),NATO Principles of Responsible Use for AI in Defence,Responsibility and Accountability,Reflects the ethical principles of accountability and responsibility in ensuring clear ownership of outcomes.,Establishes accountability mechanisms to clearly define roles and responsibilities in AI deployment.,Developing mechanisms for auditing and assigning responsibility in cases of AI system misuse or failures.,Rate of successful audits for accountability mechanisms; Number of incidents resolved through clear responsibility attribution.,"Enhances accountability in defense operations, reducing risks of misuse and building public confidence.",5
Government (Intergovernmental Organization),OECD AI Principles (2019),Accountability,Advocates for responsibility and answerability in AI impacts.,Establishes mechanisms to hold stakeholders accountable.,Implementing ethical audits and accountability frameworks.,Number of organizations compliant with accountability standards.,Fosters ethical and responsible AI use across sectors.,5
Government (Intergovernmental Organization),OECD AI Principles (2019),Explainability and Traceability,,,,,,
Government (Intergovernmental Organization),OECD AI Principles (2019),Human-Centered Values,"Upholds respect for human dignity, fairness, and autonomy.",Centers AI on respecting and enhancing human rights and values.,Designing inclusive AI systems accessible to all demographics.,Degree of accessibility and inclusivity in AI applications.,Advances human rights and fair treatment in AI deployment.,5
Government (Intergovernmental Organization),OECD AI Principles (2019),Inclusive Growth and Well-being,Promotes equity and prosperity across societal and ecological dimensions.,Ensures AI contributes to equitable and sustainable global development.,Guiding policies for equitable distribution of AI benefits across regions.,Percentage of equitable access to AI resources globally.,Promotes global inclusivity and addresses disparities.,4
Government (Intergovernmental Organization),OECD AI Principles (2019),Robustness and Safety,Ensures prudence and reliability in AI system operations.,Protects society from risks posed by AI failures and vulnerabilities.,Embedding safeguards and risk assessments in AI systems.,Reduction in critical system failures and security breaches.,Ensures reliable and secure implementation of AI technologies.,4
Government (Intergovernmental Organization),OECD AI Principles (2019),Transparency,Fosters trust through clarity and understanding of AI processes.,Builds public trust by ensuring explainability and openness.,Creating explainability features and audit trails for AI decisions.,Frequency of successful audits and user satisfaction with transparency.,Increases public confidence and trust in AI systems.,5
Corporate,Open AI AI Alignment Research,Accountability,"Ensuring responsibility in the design, deployment, and oversight of advanced AI systems.","Establishes accountability mechanisms, including partnerships with external oversight bodies.","Establishing ethical governance practices, including third-party audits and partnerships.",Frequency and results of third-party audits on AI system accountability.,Improved oversight and accountability in the deployment of AI technologies.,4
Corporate,OpenAI Bias and Fairness Initiatives,Fairness,Addressing systemic biases in AI systems to promote equitable decision-making.,Reduces algorithmic bias in natural language processing and generative AI models.,Developing tools to identify and mitigate bias in AI-generated content.,Reduction in measurable biases in AI outputs across diverse datasets.,"Greater fairness in AI applications, reducing inequitable outcomes.",4
Corporate,OpenAI Charter,Safety and Alignment,Prioritizing the safe deployment of AI systems to ensure alignment with human values.,"Focuses on developing AGI systems that are safe, aligned, and beneficial to humanity.",Researching and implementing reinforcement learning from human feedback (RLHF) for safe AGI.,Number of successful implementations of RLHF techniques for alignment.,Enhanced global trust in AGI systems and reduced risks of misuse.,5
Corporate,OpenAI for Public Benefit,Public Good,Fostering the development and deployment of AI for societal benefit over profit motives.,Ensures that AI innovations prioritize collective benefit and global equity.,Offering public access to AI tools like ChatGPT for education and productivity.,Increase in public access and utilization of AI tools for societal benefit.,Broader societal benefits from ethical and inclusive AI deployment.,5
Corporate,OpenAI Transparency Reports,Transparency,"Building trust through openness about AI development processes, limitations, and risks.","Provides detailed reports on AI usage, safety incidents, and ongoing developments.",Publishing regular transparency reports detailing progress and limitations of AI systems.,Volume of data disclosed through transparency reports and stakeholder feedback received.,Increased stakeholder trust through openness and disclosure practices.,5
Religion/Spirituality,Other Religion Harmony with Nature,Ethical Relationships,Guided by the principle that all relationships (human and non-human) carry mutual responsibilities.,Encourages AI governance models that honor the relational accountability between communities and technology.,Incorporating community input and consensus-building in AI governance frameworks.,Number of AI projects co-designed with Indigenous communities.,Improved trust and collaboration between Indigenous communities and AI developers.,4
Religion/Spirituality,Other Religion Holistic Knowledge Systems,Self-Determination,Asserts the rights of Indigenous communities to maintain control over their cultural data and technologies.,Ensures AI systems respect the autonomy and cultural heritage of Indigenous peoples.,Developing culturally sensitive AI systems that empower Indigenous self-governance.,Increased representation of Indigenous values in AI governance models.,Greater cultural sovereignty and inclusivity in AI technologies.,4
Religion/Spirituality,Other Religion Indigenous Ethical Frameworks in AI,Sustainability,Emphasizes sustainable practices that respect the interconnectedness of all living systems.,Promotes AI technologies that align with ecological balance and resource conservation.,Developing AI-driven tools for environmental monitoring and conservation initiatives.,Reduction in ecological harm caused by AI-driven systems.,Enhanced sustainability and ecological alignment in AI systems.,5
Religion/Spirituality,Other Religion Intergenerational Responsibility,Knowledge Integration,Integrates traditional knowledge systems with modern AI practices for a balanced ethical perspective.,Supports the inclusion of Indigenous epistemologies in AI design and ethical decision-making.,Creating platforms that preserve and integrate traditional knowledge with AI applications.,Integration rates of Indigenous knowledge in AI development projects.,Balanced knowledge systems that enrich AI ethics and practices.,4
Religion/Spirituality,Other Religion Relational Accountability,Future Generations,Highlights the obligation to protect and preserve resources and technologies for future generations.,Guides the development of AI systems with a focus on long-term societal and ecological impacts.,Designing policies to assess the long-term impacts of AI on societal and environmental health.,Impact assessments showing long-term societal and environmental benefits.,Preservation of resources and cultural heritage for future generations.,5
Religious Organizations,Other Religions,Interconnectedness and Respect,"Respect for nature, equality, and diverse perspectives.",,,Percentage of policies promoting equitable treatment.,Reduced bias and improved fairness in outcomes.,4
Academia,Oxford AI & Society Programme,Human Rights in AI,Protecting human dignity and rights within AI applications,Focuses on mitigating bias and ensuring AI respects fundamental human rights,Research on reducing systemic bias in AI used in criminal justice systems.,Reduction in documented bias cases through AI systems aligned with human rights,Improved equity and fairness in AI applications across diverse demographics,4
Academia,Oxford AI Governance Initiative,Governance,Advancing global governance for equitable and ethical AI,Promotes international collaboration for developing comprehensive AI regulations,Partnerships with UN and OECD on global AI governance standards.,Adoption of international governance standards proposed by Oxford,Global adoption of ethical standards for AI governance,5
Academia,Oxford Future of Humanity Institute (FHI),Existential Risk Mitigation,Anticipating and addressing existential threats posed by AI,Researches AGI alignment to mitigate risks associated with advanced AI systems,Scenario modeling and alignment research to address long-term AI safety challenges.,Published research on AGI alignment and risk mitigation,Reduced existential risks and enhanced AGI safety measures,5
Academia,Oxford Institute for Ethics in AI,Transparency,Ensuring openness and explainability in AI systems,Advocates for explainable AI (XAI) in high-impact sectors like healthcare and public policy,Development of explainability tools in AI for healthcare diagnostics and legal systems.,Number of XAI tools implemented in critical systems,Increased trust in AI systems through improved decision-making clarity,5
Academia,Oxford Internet Institute (OII),Accountability,Promoting ethical responsibility and answerability,Ensures accountability mechanisms in AI deployment for public and private sectors,Policy recommendations for AI accountability frameworks in corporate and governmental systems.,Incidents resolved through accountability measures,Enhanced public trust in organizations deploying AI ethically,5
NGO,Partnership on AI Principles,Accountability,Mandates ethical responsibility for decisions and outcomes.,Establishes mechanisms for oversight and corrective action.,Establishing accountability boards for ethical oversight.,Rate of adherence to accountability frameworks.,Greater public confidence in organizational accountability.,5
NGO,Partnership on AI Principles,Collaboration,Fosters cooperation across diverse sectors and disciplines.,Encourages shared learning and innovation globally.,"Facilitating partnerships between academia, industry, and NGOs.",Volume of cross-sector collaborations initiated.,Stronger global networks for ethical AI innovation.,4
NGO,Partnership on AI Principles,Fairness,Promotes equity and justice in algorithmic outcomes.,Addresses biases and systemic inequities in decision-making.,Using fairness audits to detect and reduce bias.,Percentage of audits revealing reduced algorithmic bias.,Documented reduction in discrimination across demographics.,4
NGO,Partnership on AI Principles,Human-Centered Values,Places human rights and dignity at the core of AI design.,Supports ethical use of AI in diverse cultural contexts.,Designing systems that prioritize accessibility and usability.,Accessibility scores across diverse user groups.,Increased usability for diverse populations.,5
NGO,Partnership on AI Principles,Safety and Security,Focuses on minimizing harm and ensuring system integrity.,Reduces risks associated with AI deployments in critical areas.,Implementing safety protocols in autonomous systems.,Frequency of safety compliance incidents.,Enhanced system reliability in critical environments.,4
NGO,Partnership on AI Principles,Social Benefit,Ensures AI development aligns with societal advancement.,Aligns AI development with global sustainability goals.,Deploying AI in projects addressing education and healthcare.,Measured social impact of AI-driven initiatives.,"Tangible benefits in education, healthcare, and equity.",5
