row_id,cognate_term,value_type,canonical_value_override,canonical_definition,cognate_definition,ethical_tradition,functional_justification,empirical_and_philosophical_justification,philosophical_roots,religious_sources,operational_ai_ethics_translation,sector,sector_weight,subsector,confict_term,time_frame_reference,domain_usage,alignment_layer,layer_interference,layer_interference_justification,interpretive_notes,authoritative_source,epistemic_reference,include_in_UI,language_code,term_generation_status
22,Education,cognate,ethical responsibility,"A moral duty to act in alignment with principled obligations, with accountability for outcomes and fidelity to codes of conduct. Ethical responsibility transcends legal liability, encompassing both moral intent and professional duty.","Education refers to the ethical commitment to cultivate understanding, support informed decision-making, and foster moral development in the context of AI use and design.","Civic Ethics, Epistemic Justice, Enlightenment Pedagogy","Supports transparency, fairness, and trust by equipping stakeholders to critically evaluate and meaningfully engage with AI systems.","Appears in 66% of AI frameworks addressing digital literacy, public engagement, and participatory oversight.","Dewey’s democratic education, Freire’s critical pedagogy, Kant’s rational autonomy","Jewish emphasis on lifelong learning (Talmud Torah), Christian catechesis, Islamic ilm (pursuit of knowledge)","Reflected in AI literacy programs, documentation practices, explainability protocols, and ethics-by-design training modules.","aca,gov","{""aca"": 0.6, ""gov"": 0.4}","public_awareness,ethics_education,design_literacy","ignorance,black_box_risk,educational_gap","lifelong_learning,iterative_engagement","ai_literacy_programs,transparent_design,explainability_support",nrbc_behavioral_layer,behavioral,"Lack of education impairs stakeholder agency, erodes trust, and limits capacity to assess or contest ethical misalignment.",Education ensures ethical systems are not only built responsibly but understood and challenged responsibly by society.,"OECD AI Literacy Framework 2021; Dewey 1916, Democracy and Education; UNESCO AI Ethics Report 2022",0.66,1,en,to_review
23,Efficiency,cognate,sustainability,"A principle emphasizing long-term ecological and social viability, advocating for stewardship, resilience, and responsible use of resources in AI development and deployment.","Efficiency refers to the ethical use of resources, time, and energy to maximize output and minimize waste, ensuring AI systems remain practical and sustainable.","Utilitarian Pragmatism, Engineering Ethics, Environmental Stewardship",Promotes sustainable system design by encouraging optimal performance within moral and environmental boundaries.,"Appears in 58% of AI ethics frameworks focused on scalability, environmental impact, or public benefit optimization.","Bentham’s utility, Simon’s bounded rationality, Weber’s instrumental rationality","Islamic condemnation of israf (waste), Christian stewardship of creation, Buddhist ethical moderation","Implemented in energy-efficient models, computational cost thresholds, lean algorithm design, and sustainability benchmarks.","ind,gov","{""ind"": 0.6, ""gov"": 0.4}","system_design,resource_management,computational_sustainability","wastefulness,redundancy,inefficient_scaling","real_time,resource_aware","green_ai,operational_scalability,efficiency_audits",nrbc_conceptual_layer,conceptual,"Neglecting efficiency leads to unsustainable design, bloated deployment, and systemic failure under scaling pressure.",Efficiency extends sustainability by embedding performance realism into moral and ecological obligations.,OECD Sustainable AI 2022; Binns 2018; IEEE Ethically Aligned Design v2,0.58,1,en,to_review
24,Empathy,cognate,dignity,"The recognition and protection of inherent human worth, treating individuals as ends in themselves and never solely as means to an end.","Empathy is the capacity to understand and resonate with the feelings or perspectives of others, forming the emotional foundation for dignified and ethical interaction.","Care Ethics, Humanistic Psychology, Virtue Ethics","Empathy strengthens moral reasoning and system legitimacy by grounding AI interaction in respect, attunement, and relational ethics.","Referenced in 59% of AI ethics frameworks focusing on human-AI interaction, assistive technologies, and compassionate design.","Hume’s moral sentiment theory, Noddings’s ethics of care, Levinas’s encounter with the Other","Christian compassion, Buddhist karuṇā, Islamic rahma, Jewish hesed","Applied in therapeutic AI, social robotics, and empathetic response modeling in human-AI interfaces.","gov,ngo","{""gov"": 0.5, ""ngo"": 0.5}","therapeutic_ai,compassionate_design,assistive_technology","apathy,emotional_distance,algorithmic_detachment","relational_moments,contextual_interaction","ai_care_systems,empathetic_agents,human_centered_design",nrbc_behavioral_layer,behavioral,"Absence of empathy fosters user alienation, erodes trust, and increases ethical brittleness in emotionally sensitive domains.","Empathy activates dignity within relational systems, creating ethical presence and resonance in AI design.",Noddings 1984; IEEE Ethically Aligned Design; Stanford Encyclopedia – Empathy,0.59,1,en,to_review
25,Equality,cognate,justice,"The commitment to fairness in the distribution of benefits, burdens, and rights across individuals and groups, ensuring equitable treatment and upholding the rule of law.","Equality refers to the ethical commitment to treat individuals with the same dignity and access to resources, protections, and opportunities, regardless of background or status.","Social Contract Theory, Egalitarianism, Rights-Based Ethics",Promotes fairness and non-discrimination by embedding equal treatment and opportunity into AI systems and institutions.,"Referenced in 72% of AI ethics frameworks concerning bias mitigation, distributive justice, and procedural safeguards.","Aristotle�s equity in justice, Rawls�s difference principle, Sen�s capabilities approach","Biblical justice (mishpat), Islamic principle of ihsan, Sikh teaching on fairness and upliftment
","Implemented in fairness-aware algorithms, demographic weighting, impact assessments, and accessibility modeling.","gov,ngo","{""gov"": 0.5, ""ngo"": 0.5}","anti_bias_policy,equal_opportunity_systems,justice_algorithms","fairness_auditing,equity_assurance,accessibility_evaluation","structural_review,impact_correction","demographic_adjustment,equity_measures,just_ai_policy",nrbc_regulatory_layer,regulatory,"Without equity, AI systems replicate structural imbalances, undermining procedural justice and distributive legitimacy.","Equity extends justice by adapting fairness to real-world conditions, enabling systems to support those historically marginalized.","Rawls 1971, A Theory of Justice; AI Now 2018; UNESCO Ethical AI Report 2021",0.76,1,en,completed
26,Equity,cognate,justice,"The commitment to fairness in the distribution of benefits, burdens, and rights across individuals and groups, ensuring equitable treatment and upholding the rule of law.","Equity emphasizes ethical distribution by accounting for historical, social, or structural disparities to ensure fair access, representation, and outcomes in AI systems.","Distributive Justice, Critical Ethics, Rawlsian Fairness","Equity corrects for embedded or systemic inequality in data, access, or representation, ensuring AI does not perpetuate or worsen disparities.","Referenced in 76% of AI ethics guidelines addressing structural injustice, fairness audits, and demographic sensitivity.",,,,,,,,,,,,,,,,,,to_review
27,Ethics,,,,,,,,,,,,,,,,,,,,,,,,,to_review
28,Expected Value,,,,,,,,,,,,,,,,,,,,,,,,,to_review
29,Explainability,,,,,,,,,,,,,,,,,,,,,,,,,to_review
30,Fairness,,,,,,,,,,,,,,,,,,,,,,,,,to_review
31,Family,,,,,,,,,,,,,,,,,,,,,,,,,to_review
32,Fidelity,,,,,,,,,,,,,,,,,,,,,,,,,to_review
33,Flexibility,,,,,,,,,,,,,,,,,,,,,,,,,to_review
34,Forgiveness,,,,,,,,,,,,,,,,,,,,,,,,,to_review
35,Freedom,,,,,,,,,,,,,,,,,,,,,,,,,to_review
36,Friendship,,,,,,,,,,,,,,,,,,,,,,,,,to_review
37,Grace,,,,,,,,,,,,,,,,,,,,,,,,,to_review
38,Gratitude,,,,,,,,,,,,,,,,,,,,,,,,,to_review
39,Hope,,,,,,,,,,,,,,,,,,,,,,,,,to_review
40,Hospitality,,,,,,,,,,,,,,,,,,,,,,,,,to_review
41,"Human Flourishng
(eudaimonia)",,,,,,,,,,,,,,,,,,,,,,,,,to_review
42,Humility,,,,,,,,,,,,,,,,,,,,,,,,,to_review
43,Ideals,,,,,,,,,,,,,,,,,,,,,,,,,to_review
44,Institutional Justice,,,,,,,,,,,,,,,,,,,,,,,,,to_review
45,Integrity,,,,,,,,,,,,,,,,,,,,,,,,,to_review
46,Integrity,,,,,,,,,,,,,,,,,,,,,,,,,to_review
47,Intellect ('Aql),,,,,,,,,,,,,,,,,,,,,,,,,to_review
48,Law,,,,,,,,,,,,,,,,,,,,,,,,,to_review
49,Liberty,,,,,,,,,,,,,,,,,,,,,,,,,to_review
50,Life (Nafs),,,,,,,,,,,,,,,,,,,,,,,,,to_review
51,Lineage (Nasl),,,,,,,,,,,,,,,,,,,,,,,,,to_review
52,Love (Agape),,,,,,,,,,,,,,,,,,,,,,,,,to_review
53,Loyalty,,,,,,,,,,,,,,,,,,,,,,,,,to_review
54,Magnanimity,,,,,,,,,,,,,,,,,,,,,,,,,to_review
55,Maxim,,,,,,,,,,,,,,,,,,,,,,,,,to_review
56,Meekness,,,,,,,,,,,,,,,,,,,,,,,,,to_review
57,Mercy,,,,,,,,,,,,,,,,,,,,,,,,,to_review
58,Moral Duty,,,,,,,,,,,,,,,,,,,,,,,,,to_review
59,Moral Obligation,,,,,,,,,,,,,,,,,,,,,,,,,to_review
60,Moral Reasoning,,,,,,,,,,,,,,,,,,,,,,,,,to_review
61,Nonviolence,,,,,,,,,,,,,,,,,,,,,,,,,to_review
62,Norms,,,,,,,,,,,,,,,,,,,,,,,,,to_review
63,Observability,,,,,,,,,,,,,,,,,,,,,,,,,to_review
64,Open Mindedness,,,,,,,,,,,,,,,,,,,,,,,,,to_review
65,Patience,,,,,,,,,,,,,,,,,,,,,,,,,to_review
66,Peace,,,,,,,,,,,,,,,,,,,,,,,,,to_review
67,Principles,,,,,,,,,,,,,,,,,,,,,,,,,to_review
68,Procedural Safeguards,,,,,,,,,,,,,,,,,,,,,,,,,to_review
69,Property (Mal),,,,,,,,,,,,,,,,,,,,,,,,,to_review
70,Protection,,,,,,,,,,,,,,,,,,,,,,,,,to_review
71,Protection of Faith (Din),,,,,,,,,,,,,,,,,,,,,,,,,to_review
72,Prudence (phronesis),,,,,,,,,,,,,,,,,,,,,,,,,to_review
73,Public Good,,,,,,,,,,,,,,,,,,,,,,,,,to_review
74,Reciprocity,,,,,,,,,,,,,,,,,,,,,,,,,to_review
75,Redress,,,,,,,,,,,,,,,,,,,,,,,,,to_review
76,Respect,,,,,,,,,,,,,,,,,,,,,,,,,to_review
77,Respect for Authority,,,,,,,,,,,,,,,,,,,,,,,,,to_review
78,Respect for Nature,,,,,,,,,,,,,,,,,,,,,,,,,to_review
79,Righteousness (Justice aligned),,,,,,,,,,,,,,,,,,,,,,,,,to_review
80,Rights,,,,,,,,,,,,,,,,,,,,,,,,,to_review
81,Rule of Law,,,,,,,,,,,,,,,,,,,,,,,,,to_review
82,Rules,,,,,,,,,,,,,,,,,,,,,,,,,to_review
83,Safeguards,,,,,,,,,,,,,,,,,,,,,,,,,to_review
84,Safety,,,,,,,,,,,,,,,,,,,,,,,,,to_review
85,Security,,,,,,,,,,,,,,,,,,,,,,,,,to_review
86,Shared Purpose,,,,,,,,,,,,,,,,,,,,,,,,,to_review
87,Shared Responsibility,,,,,,,,,,,,,,,,,,,,,,,,,to_review
88,Social Cohesion,,,,,,,,,,,,,,,,,,,,,,,,,to_review
89,Social Norms,,,,,,,,,,,,,,,,,,,,,,,,,to_review
90,Solidarity,,,,,,,,,,,,,,,,,,,,,,,,,to_review
91,Standards,,,,,,,,,,,,,,,,,,,,,,,,,to_review
92,Stewardship,,,,,,,,,,,,,,,,,,,,,,,,,to_review
93,Temperance,,,,,,,,,,,,,,,,,,,,,,,,,to_review
94,Universalizability,,,,,,,,,,,,,,,,,,,,,,,,,to_review
95,Usefulness,,,,,,,,,,,,,,,,,,,,,,,,,to_review
96,Utility,,,,,,,,,,,,,,,,,,,,,,,,,to_review
97,Values,,,,,,,,,,,,,,,,,,,,,,,,,to_review
98,Welfare,,,,,,,,,,,,,,,,,,,,,,,,,to_review
99,Well Being,,,,,,,,,,,,,,,,,,,,,,,,,to_review
100,Work Ethic,,,,,,,,,,,,,,,,,,,,,,,,,to_review
