Researcher,Name of Document/Website,Issuer,Country of Issuer,Date of Issue,Focus Area,Alignment,Gaps,Sector,URL,Values,Unnamed: 11
Hinrichs,AI Opportunities Action Plan,UK Government,United Kingdom,1/1/2025 0:00,"This plan outlines 50 recommendations to enhance the UK's AI capabilities, including:

Sovereign AI Development: Plans to increase AI computing power twentyfold by 2030 through the development of a new supercomputer and the establishment of a national data library.

Private Sector Support: Creation of ""AI growth zones"" to facilitate the development of data centers, recruitment of elite AI talent, and support for the emergence of ""national champion"" AI companies.

Public Sector Integration: Implementation of AI-powered public services to improve efficiency and reduce costs.

Energy Considerations: Ensuring that AI growth is powered by clean energy, with investments in renewable sources and small nuclear reactors.
Copyright Regime Overhaul: Adjustments to the UK's copyright laws to enhance AI competitiveness, including provisions for the use of copyrighted material with opt-out options for creators.",,,,,,
Hinrichs,Alan Turing Institute,,United Kingdom,ongoing,"The UK’s national institute for AI and data science focuses on foundational and applied AI research to address societal challenges. Key areas include ethics, fairness, transparency, and the governance of AI systems. It emphasizes interdisciplinary collaboration to create AI systems that are trustworthy, beneficial, and aligned with public interest.",,,Academia,,"Trust, Transparency",*******
Hinrichs,Oxford’s Governance of AI Program. Key ,University of Oxford,United Kingdom,on-going,"Research on global coordination, safety, and fairness",,,Academia,,,*******
Hinrichs,White House Blueprint for an AI Bill of Rights (U.S.),,United States,2022,,,,Government,,,*******
Hinrichs,Asilomar AI Principles,Future of Life Institute,Unknown,2017,"Cross referenced as The future of Life Institute's Asilomar AI Principles A set of 23 principles aimed at guiding AI development towards beneficial outcomes, covering research issues, ethics and values, and longer-term issues.",,,Industy,https://futureoflife.org/ai-principles/,,*******
Hinrichs,PwC’s Responsible AI Toolkit,PwC,Unknown,2021,,,,Industy,,,*******
Hinrichs,Responsible AI Collaborative (Joint Industry Initiative),Unknown,Unknown,on-going,,,,Industy,,,*******
Jobin,AI Now Report. The Social and Economic Implications of Artificial Intelligence Technologies in the Near-Term,AI Now Institute,USA,2016,,,,,,,*******
Jobin,AI Now 2017 Report,AI Now Institute,USA,2017,,,,,,,*******
Jobin,Artificial Intelligence. The Public Policy Opportunity,Intel Corporation,USA,2017,,,,,,,*******
Jobin,Intel’s AI Privacy Policy White Paper. Protecting Individuals’ Privacy and Data in the Artificial Intelligence World,Intel Corporation,USA,7/9/1905 0:00,,,,,,Privacy,*******
Jobin,"Unified Ethical Frame for Big Data Analysis. IAF Big Data Ethics Initiative, Part A",The Information Accountability Foundation,USA,2017,,,,,,,*******
Hinrichs,Accenture’s Responsible AI Framework,Accenture,USA,2018,,,,Industy,,,*******
Jobin,Digital Decisions,Center for Democracy & Technology,USA,2018,,,,,,,*******
Jobin,Everyday Ethics for Artificial Intelligence. A Practical Guide for Designers and Developers,IBM,USA,2018,,,,,https://www.ibm.com/think/topics/ai-ethics,,*******
Hinrichs,Google AI Principles,Google,USA,2018,"Google outlines its commitment to developing AI responsibly, emphasizing objectives such as being socially beneficial, avoiding unfair bias, and ensuring accountability. Prioritize fairness, accountability, and social benefit.",,,Industy,https://ai.google/principles/,,*******
Jobin,Governing Artificial Intelligence. Upholding Human Rights & Dignity,Data & Society,USA,2018,,,,,,Dignity,*******
Jobin,Introducing Unity’s Guiding Principles for Ethical AI—Unity Blog,Unity Technologies,USA,2018,,,,,,,*******
"Hinrichs, Jobin",Microsoft’s Responsible AI Principles,Microsoft,USA,2018,"Microsoft's Responsible AI Principles emphasize fairness, reliability and safety, privacy and security, inclusiveness, transparency, and accountability, combining a robust ethical framework (Hinrichs) with practical tools for developers and organizations to ensure ethical AI implementation (Jobin).",,,Industy,https://www.microsoft.com/en-us/ai/responsible-ai,"Privacy, Transparency",*******
Hinrichs,OpenAI’s Charter,OpenAI,USA,2018,"OpenAI's charter details its mission to ensure that artificial general intelligence benefits all of humanity, highlighting principles of safety and long-term focus.",,,Industy,https://openai.com/charter/,,*******
Jobin,Responsible Bots: 10 Guidelines for Developers of Conversational AI,Microsoft,USA,2018,,,,,,,*******
Jobin,"Science, Law and Society (SLS) Initiative",The Future Society,USA,2018,"A multidisciplinary initiative aimed at exploring the intersection of AI, law, and societal impact. The focus is on developing policies, ethical guidelines, and legal frameworks to ensure AI technologies advance human rights, democracy, and equitable access. It encourages collaboration among scientists, policymakers, and legal experts to address the societal challenges posed by AI.",,,,,,*******
Hinrichs,Adobe’s AI Ethics Principles,Adobe,USA,2020,,,,Industy,,,*******
Hinrichs,Amazon’s AI Ethics Framework,Amazon,USA,2020,"Ensures responsible and transparent deployment of AI systems. The framework emphasizes avoiding bias in algorithms, enhancing accountability, and protecting user data privacy. It also includes commitments to fairness, inclusivity, and ensuring customer trust in AI-enabled solutions like AWS and Alexa.",,,Industy,,"Trust, Privacy",*******
Hinrichs,DoD released its Ethical Principles for Artificial Intelligence in 2020,Department of Defense,USA,2020,"The DoD's Ethical Principles for Artificial Intelligence, released in 2020, emphasize the responsible development and deployment of AI technologies in defense operations. The principles focus on:

Responsible Use: Ensuring AI is used in a manner consistent with legal and ethical standards.
Equitability: Mitigating unintended bias and promoting fairness in AI systems.
Traceability: Developing transparent and understandable AI processes for accountability.
Reliability: Ensuring AI systems are reliable, safe, and function as intended in diverse operational contexts.
Governability: Maintaining human oversight and the ability to deactivate or mitigate unintended consequences in AI applications.",,,Government,,,*******
Hinrichs,Salesforce’s Ethical Use of Technology,Salesforce,USA,2020,,,,Industy,,,*******
Hinrichs,Tesla’s AI Safety and Transparency Policies,Tesla,USA,2020,,,,Industy,,Transparency,*******
Hinrichs,Apple’s Privacy by Design Approach,Apple,USA,2021,"Embeds privacy protections into the design and development of AI systems and products. Apple emphasizes user consent, data minimization, and secure data handling. This approach prioritizes transparency and user control, ensuring that privacy remains a core value across Apple’s AI-driven technologies. Apple's AI strategy indirectly aligns with ethical AI principles by focusing on fairness, inclusivity, and usability, ensuring its products work for a wide range of users, including those with disabilities (e.g., VoiceOver and assistive technologies).",,,Industy,,"Privacy, Transparency",*******
Hinrichs,Intel’s Responsible AI Principles,Intel Corporation,USA,2021,,,,Industy,,,*******
Hinrichs,Meta’s Responsible AI Guidelines,Meta,USA,2021,,,,Industy,,,*******
Hinrichs,"Twitter’s Machine Learning Ethics, Transparency, and Accountability (META) Team",X,USA,2021,,,,Industy,,Transparency,*******
Jobin,National Artificial Intelligence Research and Development Strategic Plan,National Science and Technology Council; Networking and Information Technology Research and Development Subcommittee,USA,10/1/2016 0:00,,,,,,,*******
Jobin,Preparing for the Future of Artificial Intelligence,Executive Office of the President; National Science and Technology Council; Committee on Technology,USA,10/1/2016 0:00,,,,,,,*******
Jobin,Statement on Algorithmic Transparency and Accountability,Association for Computing Machinery (ACM),USA,1/1/2017 0:00,,,,,,Transparency,*******
Jobin,AI Principles,Future of Life Institute,USA,8/1/2017 0:00,,,,,,,*******
Jobin,OpenAI Charter,OpenAI,USA,4/1/2018 0:00,,,,,,,*******
"Hinrichs, Jobin",IBM’s Principles for Trust and Transparency,IBM,USA,5/1/2018 0:00,"IBM’s AI Ethics Guidelines, also referred to as Principles for Trust and Transparency, were issued in May 2018 in the USA. These guidelines emphasize accountability, transparency, and user data rights as central to fostering trust in AI systems. They reflect IBM’s commitment to ethical AI practices in the industry.",,,,,"Trust, Transparency",*******
Jobin,Our Principles,Google,USA,6/1/2018 0:00,"Google’s AI principles prioritize fairness, safety, accountability, and user-centric design. They emphasize avoiding bias, ensuring transparency, and promoting societal benefits while restricting applications for harm or surveillance.",,,,,Transparency,*******
Jobin,Policy Recommendations on Augmented Intelligence in Health Care H-480.940,American Medical Association (AMA),USA,6/1/2018 0:00,"Developed by the American Medical Association, this focuses on integrating AI into healthcare to enhance patient care, physician decision-making, and innovation. It stresses ethics, transparency, and minimizing bias in medical AI systems.",,,,,Transparency,*******
Jobin,AI Now 2018 Report,AI Now Institute,USA,12/1/2018 0:00,"Identifies the social and economic implications of AI, particularly around bias, surveillance, and the impact on labor. The report advocates for greater transparency and accountability in AI systems, along with robust governance to mitigate harms.",,,,,Transparency,*******
Hinrichs,Carnegie Mellon University,,USA,on-going,"Accountability, governances and fairness in AI Systems",,,Academia,,,*******
Hinrichs,Harvard University,,USA,on-going,Human rights and accountability,,,Academia,,,*******
Hinrichs,Indigenous Spiritual Perspectives on AI,Indigenous,USA,on-going,"Focus on respect for nature, interconnectedness, and sustainability, aligning AI development with ecological balance and collective well-being.",,,Religion,,Sustainability,*******
Hinrichs,Massachusetts Institute of Technology (MIT),,USA,on-going,AI Ethics and Governance Program,,,Academia,,,*******
Hinrichs,Stanford University HAI (SH),Stanford University,USA,on-going,,,,Academia,,,*******
Hinrichs,Beijing Academy of Artificial Intelligence. (2019). Beijing AI principles. Retrieved from ,,,2019,"Establishing a set of global AI ethics principles emphasizing collaboration, openness, fairness, and transparency in AI development. The principles advocate for human-centric AI, long-term sustainability, and global cooperation to mitigate risks. They call for the alignment of AI advancements with societal well-being and ethical norms.",,,,https://www.baai.ac.cn/news/beijing-ai-principles.html,"Sustainability, Transparency",
Floridi,IEEE Ethically Aligned Design,,,2019,Centers on prioritizing human well-being in AI systems.,,,,,,*******
Hinrichs,"Ethical norms for the new generation artificial intelligence. Ministry of Science and Technology of the People's Republic of China.
",,,2021,,,,,,,
Hinrichs,China's updated AI governance in 2023,,,,,,,,,,
Hinrichs,Climate and sustainability considerations,,,,,,,,,Sustainability,
Floridi,EGE Statement,,,,Addresses ethical considerations for AI and robotics.,,,,,,*******
Hinrichs,Generative AI,,,,,,,,,,
Hinrichs,Human rights in AI applications,,,,,,,,,,
Hinrichw,U.S. Blueprint for AI Bill of Rights,,,,,,,,,,
Hinrichs,Updates on OECD AI Principles,,,,,,,,,,
Hinrichs,Department of Veterans Affairs Establishes a Trustworthy AI Framework (Added 2/16/2025),"National Artificial Intelligence Institute
U.S. Department of Veterans Affairs",USA,2023 or 2024,"6 Core Principles: 1. Effective & Safe - AI systems must be accurate, reliable, and robust while proactively manaing risks. 2. Secure & Private – Ensuring cybersecurity and data protection in AI applications. 3. Fair & Bias-Managed – Addressing potential biases and ensuring fairness in AI decision-making. 4. Transparent & Explainable – AI systems should provide clear, understandable reasoning for their outputs. 5. Accountable & Monitored – Implementing oversight mechanisms to track AI performance and compliance. 6. Purposeful – AI applications must serve a clear benefit to veterans while minimizing risks​","Executive Order 13960, the NIST AI Risk Management Framework, OECD AI Principles. Ensuring consistency with national and international AI ethics guidelines. The framework emhasizes measurable implementation, meaning the VA plans to assess AI maturity and compliance across its systems","The Veterans Affairs Trustworthy AI Framework presents a strong foundation for ethical AI implementation within federal agencies, but there are several notable gaps and challenges:

1. Lack of Enforcement Mechanisms
While the framework aligns with Executive Order 13960 and other national AI principles, it does not specify concrete enforcement mechanisms to ensure compliance.
Without defined consequences for violations, AI systems could still be deployed with ethical shortcomings.
2. Limited Transparency on AI Decision-Making
The framework emphasizes transparency, but it does not mandate full auditability of AI decision processes.
There is no clear protocol for external AI audits or independent oversight to verify that VA AI applications meet ethical standards.
3. Absence of Real-World Case Studies
The framework lacks empirical case studies showing how its principles have been successfully applied.
It does not detail how past AI deployments within the VA have either succeeded or failed, making it harder to evaluate its practical impact.
4. Weak Stakeholder Accountability
The framework calls for accountability, but it does not specify who is responsible for ethical lapses in AI deployment.
The chain of responsibility for AI failures—whether at the developer, administrator, or policymaker level—is not well defined.
5. Challenges in Implementation Across Departments
The VA is a large, decentralized agency, meaning AI governance is likely to vary by department and region.
The framework does not provide clear guidelines for standardized AI governance across VA medical centers, research units, and administrative offices.
6. No Clear Public Engagement or Redress Mechanism
While public trust is a core principle, there is no mechanism for veterans or the public to challenge AI decisions or request explanations.
AI-driven decisions in healthcare benefits, disability claims, or predictive analytics could significantly impact veterans, yet the framework does not specify an appeal process.
Recommendations to Address Gaps
To improve the Veterans Affairs Trustworthy AI Framework, consider:

Mandating external audits and oversight for AI deployments.
Providing clear enforcement mechanisms for ethical breaches.
Introducing real-world case studies of AI successes and failures within the VA.
Clarifying accountability structures by defining responsible parties for AI governance.
Establishing a public-facing AI review process, allowing veterans to challenge AI-based decisions.",Military,https://department.va.gov/ai/wp-content/uploads/sites/14/2023/09/trustworth-framework.pdf?utm_source=chatgpt.com,Trust,
