Unique_ID,Researcher,Name of Document,Issuer,Date of Issue,URL,Sector,Sector_Override,Country,Matched_PDF,Confirmed_Match,Citation_Label,Citation_Source,Normalized Principles,Normalized Values,Disvalue_Flag,Notes,Likely_File_Match
DOC_060,Hinrichs,China's Emerging Approach to Regulating General-Purpose Artificial Intelligence,Asia Society Policy Institute,2023.0,https://asiasociety.org/policy-institute/chinas-emerging-approach-regulating-general-purpose-artificial-intelligence-balancing-innovation-and?form=MG0AV3,Government,gov,USA,,No,"Asia Society Policy Institute, 2023",China's Emerging Approach to Regulating General-Purpose Artificial Intelligence,"Principles: Alignment with Core Socialist Values, content labeling, data sovereignty, algorithmic accountability, public-private collaboration, international competitiveness; "," National security, social stability, ethical AI development, innovation, transparency",,,No
DOC_061,Hinrichs,Claude's Constitution,Anthropic,2023.0,https://www.anthropic.com/news/claudes-constitution?form=MG0AV3,Industry,ind,USA,,No,"Anthropic, 2023",Claude's Constitution,"Principles: safety, helpfulness, harmlessness, honesty, fairness, transparency, respect for autonomy, protection of vulnerable individuals, refusal of illegal content, accuracy, clarity, responsibility; "," human wellbeing, knowledge sharing, truthfulness, privacy, inclusivity, balance, thoughtfulness, respect, responsibility, intellectual exploration, human-AI collaboration; Morals: do no harm, respect autonomy, protect children and vulnerable individuals, refuse to create dangerous content, maintain intellectual honesty, support human flourishing, avoid manipulation, avoid reinforcing harmful biases; Ethics: beneficence, non-maleficence, transparency in limitations, respect for human dignity, fairness across diverse users, protection of privacy, refusal to create harmful content, promotion of human autonomy, avoidance of deception",,,No
DOC_062,Hinrichs,Code of Ethics for Artificial Intelligence,UPC (Universitat Politècnica de Catalunya),2020.0,https://comite-etica.upc.edu/ca/actualitat?form=MG0AV3,Academia,aca,Spain,,No,"UPC (Universitat Politècnica de Catalunya), 2020",Code of Ethics for Artificial Intelligence,"Principles: transparency, fairness, responsibility, privacy, inclusivity, sustainability, human oversight; "," ethical responsibility, societal trust, equity, collaboration, long-term vision",,,No
DOC_063,Hinrichs,Code of Ethics for Artificial Intelligence,"Alliance for Artificial Intelligence (A-AI), Russia",2021.0,https://a-ai.ru/wp-content/uploads/2021/10/Code-of-Ethics.pdf?form=MG0AV3,Government,gov,Russian Federation,,No,"Alliance for Artificial Intelligence (A-AI), Russia, 2021",Code of Ethics for Artificial Intelligence,"Principles: legal compliance, responsibility and accountability, transparency, safety and security, continuous improvement; "," human-centered approach, respect for autonomy, non-discrimination, risk and humanitarian impact assessment",,,No
DOC_064,Jobin,Commitments and Principles,OP Group,2018.0,,Business,ind,Finland,,No,"OP Group, 2018",https://www.op.fi/en/op-financial-group/corporate-social-responsibility/commitments-and-principles?form=MG0AV3,"Good banking and insurance practices, corporate responsibility policies, UN Principles of Responsible Banking, UN Global Compact Initiative Principles, Code of Business Ethics, commitment to the Paris Agreement",,,,No
DOC_065,Hinrichs,Confucian Ethics and Artificial Intelligence,"Institute of Philosophy, Chinese Academy of Sciences (CASIP)",2022.0,https://pmc.ncbi.nlm.nih.gov/articles/PMC9207836/,Academia,aca,China,,No,"Institute of Philosophy, Chinese Academy of Sciences (CASIP), 2022",Confucian Ethics and Artificial Intelligence,"Principles: benevolence, righteousness, propriety, wisdom, fidelity, relationality, harmony, moral cultivation; "," ethical responsibility, societal harmony, relational integrity, moral wisdom",,,No
DOC_066,Hinrichs,Continental Artificial Intelligence Strategy,African Union,2024.0,https://au.int/en/documents/20240809/continental-artificial-intelligence-strategy,Government,gov,Africa,,No,"African Union, 2024",Continental AI Strategy,"Principles: local first, ethics and transparency, cooperation and integration; "," people-centered, human rights and human dignity, peace and prosperity, inclusion and diversity",,,No
DOC_067,Hinrichs,Coordinated Plan on Artificial Intelligence 2021 Review,European Commission,2021.0,https://www.aiia-ai.org/col.jsp?id=200,Government,gov,EU,,No,"European Commission, 2021",EU National AI Strategy,"Principles: Human-centric AI, transparency, trust, security, data governance, digital sovereignty, sustainability, AI safety, innovation, fairness, accountability, inclusivity, interoperability, AI governance, collaboration; "," Economic growth, societal well-being, environmental responsibility, competitiveness, responsible AI development, digital inclusion",,,No
DOC_068,Jobin,Declaration on Ethics and Data Protection in Artificial Intelligence,ICDPPC,2018.0,,International Organization,ind,France,,No,"ICDPPC, 2018",https://www.privacyconference2018.org/system/files/2018-10/20180922_ICDPPC-40th_AI-Declaration_ADOPTED.pdf?form=MG0AV3,"purpose specification, accountability, transparency, ethics by design, empowerment, non-discrimination",,,,No
DOC_069,Hinrichs,Decree of the President of the Russian Federation on the Development of Artificial Intelligence in the Russian Federation,Office of the President of the Russian Federation,2019.0,https://www.aiia-ai.org/col.jsp?id=200,Government,gov,Russia,,No,"Office of the President of the Russian Federation, 2019",Mexico  AI Strategy,"Principles: Protection of human rights and liberties, security, transparency, AI governance, responsible AI, fairness, digital transformation, innovation-driven growth, workforce development; "," National security, technological self-reliance, economic growth, global competitiveness, public trust",,,No
DOC_070,Hinrichs,DeepMind Ethics & Society,Deep Minds,2025.0,https://deepmind.com/about/ethics-and-society,Industry,ind,UK,,No,"Deep Minds, 2025",DeepMind Ethics & Society,"Principles: privacy, transparency, fairness, economic and social impacts, governance, accountability; "," managing AI risk, AI morality and values, addressing global challenges",,,No
DOC_071,Jobin,Digital Decisions,Center for Democracy & Technology,2017.0,,Technology Policy,ind,USA,,No,"Center for Democracy & Technology, 2017",https://cdt.org/insights/digital-decisions-tool/?form=MG0AV3,"Principles: automated decision-making, ethical design practices, interactive self-assessment; "," fairness, accountability, disparate impacts, transparency, trust",,,No
DOC_072,Hinrichs,Directive on Automated Decision-Making,Treasury Board of Canada Secretariat,2019.0,https://www.tbs-sct.canada.ca/pol/doc-eng.aspx?id=32592&utm_source=chatgpt.com,Government,gov,Canada,,No,"Treasury Board of Canada Secretariat, 2019",Directive on Automated Decision-Making,"Principles: transparency, accountability, legality, procedural fairness; "," ethical responsibility, societal trust, inclusivity, fairness",,,No
DOC_073,Jobin,Discussion Paper on Artificial Intelligence (AI) and Personal Data—Fostering Responsible Development and Adoption of AI,Personal Data Protection Commission Singapore,2018.0,,Government,gov,Singapore,,No,"Personal Data Protection Commission Singapore, 2018",https://www.pdpc.gov.sg/-/media/Files/PDPC/PDF-Files/Resource-for-Organisation/AI/Discussion-Paper-on-AI-and-PD---050618.pdf,"AI benefits and risks, AI governance framework, stakeholder roles, data protection by design, transparency, fairness, human-centricity",,,,No
DOC_074,Jobin,Discussion Paper: National Strategy for Artificial Intelligence,National Institution for Transforming India (NITI Aayog),2018.0,,Government,gov,India,,No,"National Institution for Transforming India (NITI Aayog), 2018",https://www.niti.gov.in/sites/default/files/2023-03/National-Strategy-for-Artificial-Intelligence.pdf?form=MG0AV3,"Healthcare, agriculture, education, smart cities and infrastructure, smart mobility and transportation, data availability and quality, skilled workforce, ethical considerations, privacy, security, research and development, skilling for the AI age, accelerating adoption, ethics, privacy, security",,,,No
DOC_075,Hinrichs,DoD Ethical Principles for Artificial Intelligence,Department of Defense,2020.0,https://www.defense.gov/News/Releases/Release/Article/2091996/dod-adopts-ethical-principles-for-artificial-intelligence/,Government,gov,USA,,No,"Department of Defense, 2020",DoD Ethical Principles for Artificial Intelligence,"Principles: responsibility, equitable, traceable, reliable, governable; "," ethical responsibility, fairness, transparency, accountability, safety",,,No
DOC_076,Jobin,Draft AI R&D Guidelines for International Discussions,"Institute for Information and Communications Policy (IICP), The Conference toward AI Network Society",2017.0,,Government,gov,Japan,,No,"Institute for Information and Communications Policy (IICP), The Conference toward AI Network Society, 2017",https://www.soumu.go.jp/main_content/000507517.pdf?form=MG0AV3,"ethical considerations, governance, societal impacts, international collaboration, AI R&D guidelines, global standards, AI development best practices",,,,No
DOC_077,Jobin,Dutch Artificial Intelligence Manifesto,"Special Interest Group on Artificial Intelligence (SIGAI), The Netherlands",2018.0,,Government,gov,Netherlands,,No,"Special Interest Group on Artificial Intelligence (SIGAI), The Netherlands, 2018",https://ii.tudelft.nl/bnvki/wp-content/uploads/2018/09/Dutch-AI-Manifesto.pdf?form=MG0AV3,"Principles: national AI alliance, investment in foundational AI research, tackling multidisciplinary AI challenges, human capital development, research and innovation, data sharing, human-centric AI, support for startups "," fostering innovation, inclusion, collaboration, ethical responsibility",,,No
DOC_078,Hinrichs,Ethical Framework for a Good AI Society,"European Institute for Science, Media, and Democracy (EISMD)",2019.0,https://www.eismd.eu/wp-content/uploads/2019/02/Ethical-Framework-for-a-Good-AI-Society.pdf,Academia,aca,EU,,No,"European Institute for Science, Media, and Democracy (EISMD), 2019",EISMD Website,"Principles: beneficence, non-maleficence, autonomy, justice, explicability; "," human dignity, fairness, transparency, accountability, sustainability",,,No
DOC_079,Hinrichs,Ethical Governance of Artificial Intelligence,Tsinghua University AI Institute,2025.0,https://aiig.tsinghua.edu.cn/en/Publications/Papers/1.htm,Academia,aca,China,,No,"Tsinghua University AI Institute, 2025",Ethical Governance of Artificial Intelligence,"Principles: ethical governance of artificial intelligence, global AI governance frameworks, AI governance ethics; "," fairness, justice, security, privacy, inclusivity, shared responsibility, openness, collaboration",,,No
DOC_080,Hinrichs,Ethical Norms for New Generation Artificial Intelligence,"Ministry of Science and Technology, China",2021.0,https://www.most.gov.cn/kjbgz/202109/t20210926_177063.html,Government,gov,China,,No,"Ministry of Science and Technology, China, 2021",Ethical Norms for New Generation Artificial Intelligence,"Principles: innovation, harmony, fairness, justice, security, privacy, inclusivity, shared responsibility, openness, collaboration; "," ethical responsibility, societal trust, inclusivity, sustainability",,,No
DOC_081,Hinrichs,"Ethical norms for the new generation artificial intelligence. Ministry of Science and Technology of the People's Republic of China.
",Ministry for Security and Emerging Technologies,2021.0,,Government,gov,China,,No,"Ministry for Security and Emerging Technologies, 2021",https://www.most.gov.cn/kjbgz/202109/t20210926_177063.html,"advancement of human welfare, promotion of fairness and justice, protection of privacy and security, assurance of controllability and trustworthiness, strengthening of accountability, cultivation of ethics",,,,No
DOC_082,Jobin,Ethical Principles for Artificial Intelligence and  Data Analytics,"Software & Information Industry Association (SIIA), Public Policy Division",2017.0,,Trade Association,ind,USA,,No,"Software & Information Industry Association (SIIA), Public Policy Division, 2017",I have this document on my hard drive,"non-discrimination, transparency, accountability, sector-specific guidelines, ethics and regulatory framework, fairness and equal opportunity, comparing algorithmic systems",,,,No
DOC_083,Jobin,"Ethical, Social, and Political Challenges of Artificial Intelligence in Health",Future Advocacy,2018.0,,Research,aca,UK,,No,"Future Advocacy, 2018",https://futureadvocacy.com/publications/ethical-social-and-political-challenges-of-artificial-intelligence-in-health/,"Principles: algorithmic bias and fairness, transparency and explainability, data privacy and security, accountability and governance, informed consent "," impact on healthcare employment, regulatory and ethical oversight, inclusive policy development, ethical AI design, continuous monitoring and evaluation, strengthening regulatory frameworks",,,No
DOC_084,Floridi,Ethically Aligned Design: A Vision for Prioritizing Human Well-being with Autonomous and Intelligent Systems​,IEEE Global Initiative on Ethics of Autonomous and Intelligent Systems,2017.0,https://standards.ieee.org/wp-content/uploads/import/documents/other/ead_v2.pdf,Academia,aca,International,,No,"IEEE Global Initiative on Ethics of Autonomous and Intelligent Systems, 2017",IEEE Ethically ALigned Design v2,"Principles: inclusive growth, sustainable development, well-being, human rights, democratic values, fairness, privacy, transparency, explainability, robustness, security, safety, accountability; "," innovation, trustworthiness, respect for human rights, democratic values, non-discrimination, equality, freedom, dignity, autonomy, privacy, data protection, diversity, social justice, labour rights, environmental sustainability, responsible business conduct",,,No
DOC_085,Harvard,Ethically Aligned Design: Version 2,IEEE,2017.0,https://standards.ieee.org/wp-content/uploads/import/documents/other/ead_v2.pdf,Academia,aca,USA,,No,"IEEE, 2017",Ethically ALigned Design: V2,"Principles: Human rights, well-being, accountability, transparency, awareness of misuse, competence. "," Human rights, well-being, accountability, transparency, awareness of misuse, competence.",,,No
DOC_086,Jobin,"Ethically Aligned Design:
Version 1.1",IEEE Global Initiative on Ethics of Autonomous and Intelligent Systems,2017.0,,Information Technology,ind,USA,,No,"IEEE Global Initiative on Ethics of Autonomous and Intelligent Systems, 2017",https://standards.ieee.org/wp-content/uploads/import/documents/other/ead1e.pdf?form=MG0AV3,"Principles: human rights, well-being, data agency, effectiveness, transparency, accountability, awareness of misuse, competence, sustainable development, ethical foundations, interdisciplinary collaboration, policy and regulation "," ethical responsibility, societal trust, human-centric development, interdisciplinary integrity",,,No
DOC_087,Hinrichs,Ethics and Governance of Artificial Intelligence,"MIT, Daniela Rus",2020.0,https://cyberir.mit.edu/site/global-landscape-ai-ethics-guidelines/?form=MG0AV3,Academia,aca,USA,,No,"MIT, Daniela Rus, 2020","https://cyberir.mit.edu/site/global-landscape-ai-ethics-guidelines/?form=MG0AV3
https://scholar.google.com/citations?user=910z20QAAAAJ&hl=en&form=MG0AV3","Principles: Transparency, accountability, fairness, privacy, safety, inclusivity.​
"," Trust, ethical responsibility, respect, diversity, innovation.",,,No
DOC_088,Jobin,Ethics Commission Report on Automated and Connected Driving,"Federal Ministry for Digital and Transport (BMDV), Germany",2017.0,,Government,gov,Germany,,No,"Federal Ministry for Digital and Transport (BMDV), Germany, 2017",https://bmdv.bund.de/SharedDocs/EN/publications/report-ethics-commission-automated-and-connected-driving.pdf?__blob=publicationFile&form=MG0AV3,"Principles: safety and risk reduction, human autonomy and control, ethical decision-making in dilemma situations, privacy and data protection, responsibility and liability; "," fairness, accountability, transparency, ethical responsibility",,,No
DOC_089,Harvard,Ethics Guidelines for Trustworthy AI,High-Level Expert Group on Artificial Intelligence (AI HLEG),2019.0,https://www.europarl.europa.eu/cmsdata/196377/AI%20HLEG_Ethics%20Guidelines%20for%20Trustworthy%20AI.pdf?form=MG0AV3,Government,gov,Belgium,,No,"High-Level Expert Group on Artificial Intelligence (AI HLEG), 2019",Ethical Guidelines for Trustworthy AI,"Principles: human agency and oversight, technical robustness and safety, privacy and data governance, transparency, diversity, non-discrimination, fairness, societal and environmental well-being, accountability",,,,No
DOC_090,Jobin,Ethics Guidelines for Trustworthy AI,"High-Level Expert Group on Artificial Intelligence (AI HLEG), European Commission",2019.0,,Government,gov,EU,,No,"High-Level Expert Group on Artificial Intelligence (AI HLEG), European Commission, 2019",https://digital-strategy.ec.europa.eu/en/library/ethics-guidelines-trustworthy-ai?form=MG0AV3,"Principles: respect for human autonomy, prevention of harm, fairness, explicability, human agency and oversight, technical robustness and safety, privacy and data governance, transparency "," diversity, non-discrimination, societal and environmental well-being, accountability",,,No
DOC_091,Hinrichs,Ethics of Artificial Intelligence,The Royal Society,2025.0,https://royalsociety.org/current-topics/ai-data/ethics-of-artificial-intelligence/?form=MG0AV3,NGO,ngo,UK,,No,"The Royal Society, 2025",Ethics of Artificial Intelligence,"Principles: responsible AI development, fairness, transparency, accountability, minimization of bias, privacy and consent, ethical integration of AI in society; "," societal trust, ethical responsibility, inclusivity, safety, fairness",,,No
DOC_092,Jobin,Ethics of Artificial Intelligence in Radiology: Summary of the Joint European and North American Multisociety Statement,"Joint European and North American Multisociety (including ACR, RSNA, ESR, and others)",2019.0,,Healthcare,ind,USA,,No,"Joint European and North American Multisociety (including ACR, RSNA, ESR, and others), 2019",https://pubs.rsna.org/doi/pdf/10.1148/radiol.2019191586?form=MG0AV3,"Principles: well-being, minimize harm, distribute benefits and risks, transparency, accountability, human responsibility, ethical codes "," patient welfare, common good, ethical responsibility, societal trust",,,No
DOC_093,Jobin,Ethics of Code: Developing AI for Business with Five Core Principles,Sage,2017.0,,Academia,aca,UK,,No,"Sage, 2017",https://www.sage.com/investors/-/media/files/company/documents/pdf/business%20builders/latest%20news/business%20builders%20ethics%20of%20code.pdf?form=MG0AV3,"Diversity, transparency, showing its workings, creativity, accountability, inclusivity,  responsibility",,,,No
DOC_094,Jobin,Ethics Policy,Icelandic Institute for Intelligent Machines,2017.0,,Government,gov,Iceland,,No,"Icelandic Institute for Intelligent Machines, 2017",https://www.iiim.is/ethics-policy/?form=MG0AV3,"prohibition of harmful projects, rejection of military funding, exclusion of military-affiliated collaborations, opposition to military applications of AI, opposition to surveillance and privacy invasion",,,,No
DOC_095,Jobin,Ethique de la Recherche en Robotique,CERNA (Allistene),2014.0,,Research,aca,France,,No,"CERNA (Allistene), 2014",https://hal.science/ALLISTENE-CERNA/hal-01086579v1,"Principles: moral and ethical implications, regulatory and governance frameworks, technological challenges and opportunities, ethical considerations in AI design, international cooperation on AI standards "," fairness, accountability, shared global benefits",,,No
DOC_096,Harvard,European Approach to Artificial Intelligence,European Commission,2020.0,https://digital-strategy.ec.europa.eu/en/policies/european-approach-artificial-intelligence?form=MG0AV3,Government,gov,UK,,No,"European Commission, 2020",EU Ethical Charter on the use of AI in Judicial Systems,"Principles: fostering excellence in AI, ensuring trustworthiness, promoting human-centric AI, boosting research and industrial capacity; "," safety, fundamental rights, innovation, collaboration, ethical AI use",,,No
DOC_097,Jobin,European Commission AI and Robotics Framework,European Commission,2019.0,,International Organization,ind,EU,,No,"European Commission, 2019","https://op.europa.eu/en/publication-detail/-/publication/dfebe62e-4ce9-11e8-be1d-01aa75ed71a1?form=MG0AV3
https://www.unapcict.org/sites/default/files/2019-01/EC_AI-%20Robotics-%20and%20Autonomous%20Systems.pdf?form=MG0AV4","Principles: human dignity, autonomy, responsibility, justice, equality, non-discrimination, privacy, safety, transparency, accountability, democracy, rule of law; "," human rights, ethical responsibility, fairness, security, societal well-being",,,No
DOC_098,Jobin,European Ethical Charter on the Use of Artificial Intelligence in Judicial Systems,"European Commission for the Efficiency of Justice (CEPEJ), Council of Europe",2018.0,,Government,gov,EU,,No,"European Commission for the Efficiency of Justice (CEPEJ), Council of Europe, 2018","
https://rm.coe.int/ethical-charter-en-for-publication-4-december-2018/16808f699c","Principles: security, transparency, impartiality, fairness, under user control; "," respect of fundamental rights, non-discrimination, quality",,,No
DOC_099,Harvard,European Ethical Charter on the Use of Artificial Intelligence in Judicial Systems and Their Environment,"European Commission for the Efficiency of Justice (CEPEJ), under the Council of Europe.",2018.0,https://www.coe.int/en/web/cepej/cepej-european-ethical-charter-on-the-use-of-artificial-intelligence-ai-in-judicial-systems-and-their-environment?form=MG0AV3,Government,gov,France,,No,"European Commission for the Efficiency of Justice (CEPEJ), under the Council of Europe., 2018",European Ethical Charter on the use of AI in Judicial SYstems 2018,"Principles: respect for fundamental rights, non-discrimination, quality and security, transparency, impartiality and fairness, under user control "," ethical responsibility, justice, inclusivity, societal trust, accountability",,,No
DOC_100,Harvard,European Strategy on AI: Are we truly fostering social good,"Foffano, F., Scantamburlo, T, Cortes, A, & Bissolo, C. ",2020.0,https://crcs.seas.harvard.edu/publications/european-strategy-ai-are-we-truly-fostering-social-good,Academia,aca,EU,,No,"Foffano, F., Scantamburlo, T, Cortes, A, & Bissolo, C. , 2020",European Strategy on AI Harvard,"Principles: Inclusive growth, sustainable development, well-being, human rights, democratic values, fairness, privacy, transparency, explainability, robustness, security, safety, accountability​
"," Innovation, trustworthiness, respect for human rights, democratic values, non-discrimination, equality, freedom, dignity, autonomy, privacy, data protection, diversity, social justice, labor rights, environmental sustainability, responsible business conduct",,,No
DOC_101,Harvard,Everyday Ethics for Artificial Intelligence,IBM,2019.0,https://www.ibm.com/design/ai/ethics/everyday-ethics/?form=MG0AV3,Industry,ind,USA,,No,"IBM, 2019",Everyday ethics for AI,"Principles: Accountability, value alignment, explainability, fairness, user data rights. "," Ethical responsibility, transparency, inclusivity, privacy, trust.",,,No
DOC_102,Jobin,Everyday Ethics for Artificial Intelligence. A Practical Guide for Designers and Developers,IBM,2018.0,,Business,ind,USA,,No,"IBM, 2018",https://www.ibm.com/watson/assets/duo/pdf/everydayethics.pdf?form=MG0AV3,"accountability, value alignment, explainability, fairness, user data rights",,,,No
DOC_103,Hinrichs,Evolving with innovation: The 2024 OECD AI Principles Update,Organisation for Economic Co-operation and Development (OECD),2024.0,https://oecd.ai/en/wonk/evolving-with-innovation-the-2024-oecd-ai-principles-update?form=MG0AV3&form=MG0AV3,NGO,ngo,International,,No,"Organisation for Economic Co-operation and Development (OECD), 2024",Evolving with Innovation: The 2024 OECD AI Principles Update,"Principles: safety, privacy, intellectual property rights, information integrity, fairness, transparency, accountability, environmental sustainability, interoperability, proactive governance; "," trustworthiness, ethical AI governance, global cooperation, inclusivity, sustainability",,,No
DOC_104,Hinrichs,Evolving with Innovation: The 2024 OECD AI Principles Update,Organisation for Economic Co-operation and Development (OECD),2024.0,https://oecd.ai/en/wonk/evolving-with-innovation-the-2024-oecd-ai-principles-update?form=MG0AV3&form=MG0AV3,Government,gov,International Organization,,No,"Organisation for Economic Co-operation and Development (OECD), 2024",Evolving with innovation: The 2024 OECD AI Principles Update,"Principles: inclusive growth, sustainable development, well-being, human-centered values, fairness, transparency, explainability, robustness, security, safety, accountability, addressing mis- and disinformation, safeguarding information integrity, responsible business conduct, environmental sustainability; "," human rights, democratic values, privacy, data protection, non-discrimination, equality, diversity, social justice, ethical responsibility, global interoperability",,,No
DOC_105,Harvard,FEAT Principles,Monetary Authority of Singapore (MAS),2017.0,https://web.archive.org/web/20210918145943/https:/chiefit.me/mas-introduces-new-feat-principles-to-promote-responsible-use-of-ai-and-data-analytics/,Government,gov,Singapore,,No,"Monetary Authority of Singapore (MAS), 2017",FEAT Principles,"Principles: fairness, accountability, transparency; "," ethical AI use, trust, responsibility",,,No
DOC_106,Hinrichs,"FEAT Principles (Fairness, Ethics, Accountability, Transparency)",Monetary Authority of Singapore (MAS),2018.0,https://chiefit.me/mas-introduces-new-feat-principles-to-promote-responsible-use-of-ai-and-data-analytics/?form=MG0AV3,Government,gov,Singapore,,No,"Monetary Authority of Singapore (MAS), 2018",FEAT Principles,"Principles: fairness, ethics, accountability, transparency, justifiability, accuracy, bias minimization; "," ethical AI use, trust, responsibility, internal accountability, proactive governance",,,No
DOC_107,Hinrichs,For a Meaningful Artificial Intelligence,Cedric Villani,2021.0,https://www.aiia-ai.org/col.jsp?id=200,Government,gov,France,,No,"Cedric Villani, 2021",For a Meaningful AI: Towars a French and European Strategy,"Principles: Human-centric AI, transparency, trust, security, data governance, digital sovereignty, sustainability, AI safety, innovation, fairness, accountability, inclusivity, interoperability, AI governance, collaboration; "," Economic growth, societal well-being, environmental responsibility, competitiveness, responsible AI development, digital inclusion",,,No
DOC_108,Jobin,For a Meaningful Artificial Intelligence. Towards a French and European Strategy,"Mission Villani
Cedric Villani",2018.0,,Government,gov,France,,No,"Mission Villani
Cedric Villani, 2018",https://comite-etica.upc.edu/ca/actualitat/media/missionvillani_report_eng-vf.pdf?form=MG0AV3,"Principles: ethical design, transparency and openness, inclusivity and diversity, accountability, sustainability "," fairness and justice, human-centric AI, public interest",,,No
DOC_109,Harvard,For a Meaningful Artificial Intelligence: Towards a French and European Strategy,"Cédric Villani, French Parliament",2018.0,https://comite-etica.upc.edu/ca/actualitat/media/missionvillani_report_eng-vf.pdf?form=MG0AV3,Government,gov,France,,No,"Cédric Villani, French Parliament, 2018",For a Meaningful Artificial Intelligence: Towards a French and European Strategy,"Principles: transparency, fairness, responsibility, privacy, inclusivity, sustainability, human oversight "," ethical responsibility, societal trust, equity, collaboration, long-term vision",,,No
DOC_110,Hinrichs,France AI Strategy Report,European Commission,2018.0,https://ai-watch.ec.europa.eu/countries/france/france-ai-strategy-report_en?form=MG0AV3,Government,gov,France,,No,"European Commission, 2018",France AI Strategy Report,"Principles: human capital development, open data policy, ethical framework; "," innovation, transparency, accountability, inclusivity",,,No
DOC_111,Hinrichs,France AI Strategy Report,French Government,2019.0,https://knowledge4policy.ec.europa.eu/sites/default/files/france-ai-strategy-report.pdf?form=MG0AV3,Government,gov,France,,No,"French Government, 2019",France AI Strategy Report (PDF),"Principles: transparency, accountability, innovation, fostering research collaboration; "," societal well-being, inclusivity, human-centric development, environmental sustainability",,,No
DOC_112,Hinrichs,G20 2017 Task Force Report,Global Solutions Initiative,2017.0,https://www.global-solutions-initiative.org/task_force/g20-2017/?form=MG0AV3,Government,gov,Germany,,No,"Global Solutions Initiative, 2017",G20 2017 Task Force Report Germany,"Principles: resilience, sustainability, responsibility, integrity, inclusiveness; "," ethical global governance, collaboration, societal well-being, environmental stewardship",,,No
DOC_113,Harvard,G20 AI Principles,G20 (via OECD AI),2019.0,https://oecd.ai/en/wonk/documents/g20-ai-principles?form=MG0AV3,Government,gov,International Organization,,No,"G20 (via OECD AI), 2019",G20 AI Principles,"Principles: Inclusive growth, sustainable development, well-being, human-centered values, fairness, transparency, explainability, robustness, security, safety, accountability. "," Human rights, democratic values, privacy, data protection, non-discrimination, equality, diversity, social justice.",,,No
DOC_114,Hinrichs,G20 AI Principles,Organisation for Economic Co-operation and Development (OECD),2019.0,../../../../9AD3713C28CF9263/Desktop/PhD/BOOK/Jobin%20References.ris,Government,gov,France,,No,"Organisation for Economic Co-operation and Development (OECD), 2019",G20 Ministerial Statement on Trade and Digital Economy,"Principles: transformation, technological innovation, inclusive growth, sustainable development, well-being, human-centered values and equity, transparency and responsible disclosure, robustness, security, safety, accountability; "," societal well-being, ethical responsibility, global cooperation, equitable development",,,No
DOC_115,Hinrichs,General Data Protection Regulation (GDPR),European Union,2016.0,https://eur-lex.europa.eu/eli/reg/2016/679/oj?form=MG0AV3,Government,gov,International Organization,,No,"European Union, 2016",Genderal Data Protection Regulation (GDPR),"Principles: lawfulness, fairness, transparency, purpose limitation, data minimization, accuracy, storage limitation, integrity, confidentiality, accountability; "," privacy, data protection, individual rights, fairness, transparency, security, trust, autonomy",,,No
DOC_116,Hinrichs,General Data Protection Regulation (GDPR),European Union,2024.0,https://op.europa.eu/en/publication-detail/-/publication/fa92329f-a2ff-11ef-85f0-01aa75ed71a1/language-en,Government,gov,International Organization,,No,"European Union, 2024",General Data Protection Regulation (GDPR) - 2024 Update,"Principles: lawfulness, fairness, transparency, purpose limitation, data minimization, accuracy, storage limitation, integrity, confidentiality, accountability, AI ethics, sustainability; "," privacy, data protection, individual rights, fairness, transparency, security, trust, autonomy, ethical AI use, environmental responsibility",,,No
DOC_117,Hinrichs,Generative AI Ethics,"Markkula Center for Applied Ethics, Santa Clara University",2025.0,https://www.scu.edu/ethics-spotlight/generative-ai-ethics/?form=MG0AV3,Academia,aca,USA,,No,"Markkula Center for Applied Ethics, Santa Clara University, 2025",Generative AI and Ethics,"Principles: transparency and disclosure, accuracy and fact-checking, bias awareness, intellectual property rights, academic integrity, environmental impact, clear communications about the origin of content for generative AI, decision-making process; "," transparency, accountability, ethical responsibility, trust, sustainability",,,No
DOC_118,Hinrichs,German AI Strategy (Updated Version),Federal Government of Germany,2020.0,https://www.ki-strategie-deutschland.de/files/downloads/Fortschreibung_KI-Strategie_engl.pdf,Government,gov,Germany,,No,"Federal Government of Germany, 2020",German AI Strategy (Updated Version),"Principles: human-centered development, research and innovation, AI ecosystems, transfer and application, regulatory framework, societal dialogue; "," inclusivity, sustainability, societal trust, collaboration, innovation",,,No
DOC_119,Hinrichs,German Standardization Roadmap on Artificial Intelligence,DIN (Deutsches Institut für Normung e.V.),2023.0,https://www.din.de/resource/blob/916798/ed09ae58b60f0d3a498fa90fa5085b7c/nrm-ki-engl-2023-final-web-250-neu-data.pdf?form=MG0AV3,Industry,ind,Germany,,No,"DIN (Deutsches Institut für Normung e.V.), 2023",German Standardization Roadmap on Artificial Intelligence 2nd Edition,"Principles: human-centered AI, fairness, transparency, accountability, security, safety, testing, certification, sociotechnical systems; "," ethical responsibility, societal trust, inclusivity, innovation, sustainability",,,No
DOC_120,Harvard,Germany AI Strategy,German Federal Government,2018.0,https://ai-watch.ec.europa.eu/countries/germany/germany-ai-strategy-report_en?form=MG0AV3,Government,gov,Germany,,No,"German Federal Government, 2018",Germany AI Strategy,"Principles: competitiveness, responsibility, integration, technology leadership, responsible AI development, environmental and climate protection, societal dialogue, European AI ecosystem "," innovation, sustainability, ethical responsibility, collaboration, inclusivity",,,No
