Ethical Term,Frequency,Category,Fuzzy Matched Term,Recalibrated Category,Final Category
social-systems analysis,1,Unclassified,Social Harmony,Regulatory,Regulatory
ethical design frameworks,1,Unclassified,,,Unclassified
ai bias and discrimination,1,Unclassified,,,Unclassified
human rights due diligence,1,Social,,,Social
right to human determination,1,Unclassified,Human Flourishing,Contextual and Evaluative Elements,Contextual and Evaluative Elements
identification obligation,1,Unclassified,,,Unclassified
assessment and accountability obligation,1,Core,Accountability,Virtues,Virtues
renewable energy,1,Unclassified,,,Unclassified
societal progress,1,Unclassified,,,Unclassified
nonviolence,1,Unclassified,,,Unclassified
alleviation of suffering,1,Unclassified,Rule of Law,Digital Ethics (Emerging),Digital Ethics (Emerging)
mindfulness,1,Unclassified,,,Unclassified
ethical intent,1,Unclassified,,,Unclassified
compassion,1,Social,Compassion,Operational Cultural Values,Operational Cultural Values
ibm ai principles,1,Unclassified,,,Unclassified
ai ethics board,1,Unclassified,Digital Ethics (Emerging),Normative,Normative
augmenting human intelligence,1,Unclassified,Human Flourishing,Contextual and Evaluative Elements,Contextual and Evaluative Elements
civil rights,1,Unclassified,,,Unclassified
active inclusion,1,Unclassified,,,Unclassified
right to understanding,1,Unclassified,,,Unclassified
access to redress,1,Unclassified,,,Unclassified
human identity and uniqueness,1,Unclassified,Human Flourishing,Contextual and Evaluative Elements,Contextual and Evaluative Elements
global equality,1,Social,,,Social
social cohesion,1,Unclassified,,,Unclassified
"peace

principles",1,Unclassified,,,Unclassified
precautionary regulation,1,Unclassified,,,Unclassified
accountability frameworks,1,Core,Accountability,Virtues,Virtues
un engagement,1,Unclassified,,,Unclassified
ecumenical collaboration,1,Social,,,Social
workforce adaptation values,1,Unclassified,,,Unclassified
automation,1,Unclassified,,,Unclassified
public safety obligation,1,Core,,,Core
humanoid robotics,1,Unclassified,,,Unclassified
cybersecurity obligation,1,Core,,,Core
prohibition on secret profiling,1,Unclassified,,,Unclassified
fairness obligation,1,Core,Fairness,Personal Values,Personal Values
and validity obligations,1,Unclassified,,,Unclassified
data quality obligation,1,Unclassified,,,Unclassified
public disclosure obligation,1,Unclassified,,,Unclassified
termination obligation,1,Unclassified,,,Unclassified
advancing ai research,1,Unclassified,,,Unclassified
developing efficient ai models,1,Unclassified,,,Unclassified
addressing complex challenges,1,Unclassified,,,Unclassified
creating high-impact outcomes,1,Unclassified,Global Impact,Structural Values (Systems),Structural Values (Systems)
inclusive deliberation,1,Unclassified,,,Unclassified
proactive ethics,1,Unclassified,Digital Ethics (Emerging),Normative,Normative
participatory governance,1,Unclassified,,,Unclassified
shared egalitarian future,1,Unclassified,,,Unclassified
democratic principles,1,Unclassified,,,Unclassified
defending democracy,1,Unclassified,,,Unclassified
combating socio-economic injustices,1,Core,Justice,Virtues,Virtues
european identity,1,Unclassified,,,Unclassified
societal values,1,Unclassified,,,Unclassified
artificial intelligence advancements,1,Unclassified,,,Unclassified
fostering ethical ai design,1,Unclassified,Ethical Governance,Ethical Governance,Ethical Governance
establishing robust regulatory and governance frameworks,1,Unclassified,Ethical Governance,Ethical Governance,Ethical Governance
workforce transformation,1,Unclassified,,,Unclassified
veracity and robustness,1,Core,,,Core
prevention of manipulation,1,Unclassified,Rule of Law,Digital Ethics (Emerging),Digital Ethics (Emerging)
social connectivity,1,Unclassified,Connectivity,Personal Values,Personal Values
equal access,1,Unclassified,,,Unclassified
limitation on human enhancement,1,Unclassified,Human Flourishing,Contextual and Evaluative Elements,Contextual and Evaluative Elements
equitability,1,Unclassified,,,Unclassified
governability,1,Unclassified,,,Unclassified
strategic alignment,1,Unclassified,,,Unclassified
realistic expectations,1,Unclassified,,,Unclassified
partner clarity,1,Unclassified,,,Unclassified
organizational structure,1,Unclassified,,,Unclassified
privacy safeguards,1,Core,,,Core
addressing the moral and ethical implications of ai,1,Unclassified,Ethical Governance,Ethical Governance,Ethical Governance
ethical and responsible ai use,1,Unclassified,Ethical Governance,Ethical Governance,Ethical Governance
ensuring societal trust,1,Social,Trust,Collective Social Values (Societal),Collective Social Values (Societal)
mitigating biases and discrimination,1,Unclassified,,,Unclassified
securing informed consent,1,Unclassified,,,Unclassified
data minimization and purpose limitation,1,Unclassified,,,Unclassified
accuracy and security in data handling,1,Core,,,Core
and equitable ai access,1,Unclassified,,,Unclassified
and human-centric ai design,1,Unclassified,Human Flourishing,Contextual and Evaluative Elements,Contextual and Evaluative Elements
compliance with international law,1,Unclassified,Compliance,Structural Values (Systems),Structural Values (Systems)
non-anthropomorphization,1,Unclassified,Non-maleficence,Aspirational Social Values (Goals),Aspirational Social Values (Goals)
data management,1,Unclassified,,,Unclassified
freedom of choice,1,Unclassified,Rule of Law,Digital Ethics (Emerging),Digital Ethics (Emerging)
human safety,1,Core,,,Core
fallback,1,Unclassified,,,Unclassified
"fat ml
values",1,Unclassified,,,Unclassified
factual accuracy,1,Core,,,Core
journalistic integrity,1,Unclassified,Integrity,Aspirational Social Values (Goals),Aspirational Social Values (Goals)
non-deception,1,Unclassified,,,Unclassified
human rights impact assessment,1,Social,Human Flourishing,Contextual and Evaluative Elements,Contextual and Evaluative Elements
legal safeguards,1,Unclassified,,,Unclassified
digital rights,1,Unclassified,Digital Ethics (Emerging),Normative,Normative
privacy-by-design,1,Core,,,Core
ethical data processing,1,Unclassified,,,Unclassified
encryption,1,Unclassified,,,Unclassified
risk-based governance,1,Unclassified,,,Unclassified
automated decision safeguards,1,Unclassified,,,Unclassified
ensuring security,1,Core,,,Core
ai transparency reporting,1,Core,Transparency,Relationtional Social Values (Interpersonal),Relationtional Social Values (Interpersonal)
ethical ai guidelines,1,Unclassified,,,Unclassified
alignment with ai bill of rights,1,Unclassified,Rule of Law,Digital Ethics (Emerging),Digital Ethics (Emerging)
corporate responsibility,1,Core,Responsibility,Core Chosen,Core Chosen
algorithmic discrimination protections,1,Unclassified,,,Unclassified
notice and explanation,1,Unclassified,,,Unclassified
human alternatives,1,Unclassified,,,Unclassified
consideration,1,Unclassified,,,Unclassified
ai as tools,1,Unclassified,,,Unclassified
privacy values,1,Core,,,Core
ethical innovation,1,Unclassified,,,Unclassified
efficient,1,Unclassified,,,Unclassified
risk anticipation and protection,1,Unclassified,,,Unclassified
personalized,1,Unclassified,,,Unclassified
enriched experiences,1,Unclassified,,,Unclassified
customer happiness,1,Unclassified,,,Unclassified
resource and infrastructure resilience,1,Unclassified,Resilience,Structural Values (Systems),Structural Values (Systems)
and use,1,Unclassified,,,Unclassified
continuous evaluation,1,Unclassified,,,Unclassified
awareness,1,Unclassified,,,Unclassified
access and redress,1,Unclassified,,,Unclassified
explanation,1,Unclassified,,,Unclassified
data provenance,1,Unclassified,,,Unclassified
validation and testing,1,Unclassified,,,Unclassified
ethical ai adoption,1,Unclassified,,,Unclassified
knowledge-sharing,1,Unclassified,,,Unclassified
safety and reliability,1,Core,,,Core
worker empowerment,1,Unclassified,,,Unclassified
protection of rights,1,Unclassified,Rule of Law,Digital Ethics (Emerging),Digital Ethics (Emerging)
training,1,Unclassified,,,Unclassified
littler,1,Unclassified,,,Unclassified
com,1,Unclassified,Compliance,Structural Values (Systems),Structural Values (Systems)
bakerbotts,1,Unclassified,,,Unclassified
optimized resource use,1,Unclassified,,,Unclassified
integrated services,1,Unclassified,,,Unclassified
protection of human rights and freedoms,1,Social,Rule of Law,Digital Ethics (Emerging),Digital Ethics (Emerging)
seamless,1,Unclassified,,,Unclassified
innovation cycle integrity,1,Unclassified,Integrity,Aspirational Social Values (Goals),Aspirational Social Values (Goals)
reasonable thrift,1,Unclassified,,,Unclassified
support for competition,1,Unclassified,,,Unclassified
technological independence,1,Unclassified,,,Unclassified
economic efficiency,1,Unclassified,,,Unclassified
competitive fairness,1,Core,Fairness,Personal Values,Personal Values
customer success,1,Unclassified,,,Unclassified
proportionality and do not harm,1,Unclassified,,,Unclassified
behavioral,1,Unclassified,,,Unclassified
right to privacy and data protection,1,Core,,,Core
equality and human flourishing,1,Social,Human Flourishing,Contextual and Evaluative Elements,Contextual and Evaluative Elements
measurability,1,Unclassified,,,Unclassified
inclusive dialogue,1,Unclassified,,,Unclassified
copyright,1,Unclassified,,,Unclassified
data accuracy,1,Core,,,Core
"regulatory mechanisms
values",1,Unclassified,,,Unclassified
training capabilities,1,Unclassified,,,Unclassified
critical thinking cultivation,1,Unclassified,,,Unclassified
truth,1,Unclassified,,,Unclassified
community and inclusivity,1,Social,Community,Personal Values,Personal Values
environment stewardship,1,Unclassified,,,Unclassified
enable human oversight,1,Unclassified,,,Unclassified
meaningful human interaction,1,Unclassified,Human Flourishing,Contextual and Evaluative Elements,Contextual and Evaluative Elements
environmental protection,1,Unclassified,,,Unclassified
fairness across diverse users,1,Core,Fairness,Personal Values,Personal Values
refusal to create harmful content,1,Unclassified,,,Unclassified
promotion of human autonomy,1,Core,Rule of Law,Digital Ethics (Emerging),Digital Ethics (Emerging)
avoidance of deception,1,Unclassified,Rule of Law,Digital Ethics (Emerging),Digital Ethics (Emerging)
digital infrastructure,1,Unclassified,,,Unclassified
responsible ai governance,1,Unclassified,,,Unclassified
risk and humanitarian impact assessment,1,Unclassified,Global Impact,Structural Values (Systems),Structural Values (Systems)
good banking and insurance practices,1,Unclassified,,,Unclassified
corporate responsibility policies,1,Core,Responsibility,Core Chosen,Core Chosen
un principles of responsible banking,1,Unclassified,Rule of Law,Digital Ethics (Emerging),Digital Ethics (Emerging)
un global compact initiative principles,1,Unclassified,Global Impact,Structural Values (Systems),Structural Values (Systems)
code of business ethics,1,Unclassified,Rule of Law,Digital Ethics (Emerging),Digital Ethics (Emerging)
commitment to the paris agreement,1,Unclassified,,,Unclassified
benevolence,1,Unclassified,,,Unclassified
righteousness,1,Unclassified,,,Unclassified
propriety,1,Unclassified,,,Unclassified
wisdom,1,Unclassified,,,Unclassified
fidelity,1,Unclassified,,,Unclassified
relationality,1,Unclassified,,,Unclassified
avoiding harm,1,Unclassified,,,Unclassified
moral cultivation,1,Unclassified,,,Unclassified
societal harmony,1,Unclassified,Social Harmony,Regulatory,Regulatory
protection of privacy,1,Core,Rule of Law,Digital Ethics (Emerging),Digital Ethics (Emerging)
transparency in limitations,1,Core,Transparency,Relationtional Social Values (Interpersonal),Relationtional Social Values (Interpersonal)
healthcare innovation,1,Unclassified,,,Unclassified
avoid reinforcing harmful biases,1,Unclassified,,,Unclassified
international competitiveness,1,Unclassified,,,Unclassified
climate risk mitigation,1,Unclassified,,,Unclassified
african autonomy,1,Core,,,Core
helpfulness,1,Unclassified,,,Unclassified
harmlessness,1,Unclassified,,,Unclassified
regional integration,1,Unclassified,,,Unclassified
protection of vulnerable individuals,1,Unclassified,Rule of Law,Digital Ethics (Emerging),Digital Ethics (Emerging)
refusal of illegal content,1,Unclassified,Rule of Law,Digital Ethics (Emerging),Digital Ethics (Emerging)
clarity,1,Unclassified,,,Unclassified
human wellbeing,1,Unclassified,,,Unclassified
truthfulness,1,Unclassified,,,Unclassified
balance,1,Unclassified,,,Unclassified
thoughtfulness,1,Unclassified,,,Unclassified
intellectual exploration,1,Unclassified,,,Unclassified
morals,1,Unclassified,,,Unclassified
respect autonomy,1,Core,Respect,Virtues,Virtues
protect children and vulnerable individuals,1,Unclassified,,,Unclassified
refuse to create dangerous content,1,Unclassified,,,Unclassified
maintain intellectual honesty,1,Unclassified,Honesty,Relationtional Social Values (Interpersonal),Relationtional Social Values (Interpersonal)
support human flourishing,1,Emerging,Human Flourishing,Contextual and Evaluative Elements,Contextual and Evaluative Elements
avoid manipulation,1,Unclassified,,,Unclassified
relational integrity,1,Unclassified,Integrity,Aspirational Social Values (Goals),Aspirational Social Values (Goals)
moral wisdom,1,Unclassified,,,Unclassified
local first,1,Unclassified,,,Unclassified
ethics and transparency,1,Core,Transparency,Relationtional Social Values (Interpersonal),Relationtional Social Values (Interpersonal)
right to information,1,Unclassified,,,Unclassified
fairness and discrimination,1,Core,Fairness,Personal Values,Personal Values
equitable,1,Unclassified,,,Unclassified
traceable,1,Unclassified,,,Unclassified
governable,1,Unclassified,,,Unclassified
societal impacts,1,Unclassified,,,Unclassified
ai r,1,Unclassified,,,Unclassified
d guidelines,1,Unclassified,,,Unclassified
global standards,1,Unclassified,,,Unclassified
ai development best practices,1,Unclassified,,,Unclassified
national ai alliance,1,Unclassified,,,Unclassified
investment in foundational ai research,1,Unclassified,,,Unclassified
tackling multidisciplinary ai challenges,1,Unclassified,,,Unclassified
data sharing,1,Unclassified,,,Unclassified
support for startups values,1,Unclassified,,,Unclassified
authonomy,1,Unclassified,,,Unclassified
ethical governance of artificial intelligence,1,Unclassified,Ethical Governance,Ethical Governance,Ethical Governance
global ai governance frameworks,1,Unclassified,Ethical Governance,Ethical Governance,Ethical Governance
ai governance ethics,1,Unclassified,,,Unclassified
advancement of human welfare,1,Unclassified,Rule of Law,Digital Ethics (Emerging),Digital Ethics (Emerging)
protection of privacy and security,1,Core,Rule of Law,Digital Ethics (Emerging),Digital Ethics (Emerging)
data protection by design,1,Core,,,Core
stakeholder roles,1,Unclassified,,,Unclassified
ai benefits and risks,1,Unclassified,,,Unclassified
innovation-driven growth,1,Unclassified,,,Unclassified
cooperation and integration,1,Unclassified,,,Unclassified
people-centered,1,Unclassified,,,Unclassified
human rights and human dignity,1,Social,Dignity,Relational Social Values (Interpersonal,Relational Social Values (Interpersonal
peace and prosperity,1,Unclassified,,,Unclassified
inclusion and diversity,1,Social,,,Social
purpose specification,1,Unclassified,,,Unclassified
ethics by design,1,Unclassified,Digital Ethics (Emerging),Normative,Normative
protection of human rights and liberties,1,Social,Rule of Law,Digital Ethics (Emerging),Digital Ethics (Emerging)
doing good,1,Unclassified,,,Unclassified
technological self-reliance,1,Unclassified,,,Unclassified
procedural fairness,1,Core,Fairness,Personal Values,Personal Values
economic and social impacts,1,Unclassified,Global Impact,Structural Values (Systems),Structural Values (Systems)
managing ai risk,1,Unclassified,,,Unclassified
ai morality and values,1,Unclassified,,,Unclassified
addressing global challenges,1,Unclassified,Global Impact,Structural Values (Systems),Structural Values (Systems)
automated decision-making,1,Unclassified,,,Unclassified
ethical design practices,1,Unclassified,,,Unclassified
interactive self-assessment,1,Unclassified,,,Unclassified
disparate impacts,1,Unclassified,,,Unclassified
legality,1,Unclassified,,,Unclassified
algorithmic accountability,1,Core,Accountability,Virtues,Virtues
content labeling,1,Unclassified,,,Unclassified
strengthening of accountability,1,Core,Accountability,Virtues,Virtues
government and public services,1,Unclassified,,,Unclassified
technological advancement,1,Unclassified,,,Unclassified
economic progress,1,Unclassified,,,Unclassified
transparent and explainable ai,1,Unclassified,,,Unclassified
fair ai,1,Unclassified,,,Unclassified
enables individual understand and ethical interaction with ai systems,1,Unclassified,Ethical Governance,Ethical Governance,Ethical Governance
explainability - behavioral,1,Core,,,Core
foster innovation and open development,1,Unclassified,Open-mindedness,Contextual and Evaluative Elements,Contextual and Evaluative Elements
create new human employment opportunities and protect people,1,Unclassified,Human Flourishing,Contextual and Evaluative Elements,Contextual and Evaluative Elements
vital for pbulic trust,1,Social,Trust,Collective Social Values (Societal),Collective Social Values (Societal)
liberate data responsibly,1,Unclassified,,,Unclassified
rethink privacy values,1,Core,,,Core
ethical data use,1,Unclassified,,,Unclassified
bridges principle with implementation,1,Unclassified,,,Unclassified
transparency - normative,1,Core,Transparency,Relationtional Social Values (Interpersonal),Relationtional Social Values (Interpersonal)
enables traceability and enforceability within governance structures,1,Unclassified,Ethical Governance,Ethical Governance,Ethical Governance
impact assessment,1,Unclassified,,,Unclassified
accountability - regulatory,1,Core,Accountability,Virtues,Virtues
reflects universal moral aspiration toward quality and justice,1,Core,,,Core
productivity,1,Unclassified,,,Unclassified
fairness - normative,1,Core,Fairness,Personal Values,Personal Values
using the nbrc classification,1,Unclassified,,,Unclassified
ai education,1,Unclassified,,,Unclassified
capacity,1,Unclassified,,,Unclassified
alignment with core socialist values,1,Unclassified,,,Unclassified
ai-driven industrialization,1,Unclassified,,,Unclassified
risk-based classification,1,Unclassified,,,Unclassified
unacceptable risk,1,Unclassified,,,Unclassified
high risk,1,Unclassified,,,Unclassified
limited risk,1,Unclassified,,,Unclassified
minimal risk,1,Unclassified,,,Unclassified
governance and enforcement,1,Unclassified,,,Unclassified
conformity assessments,1,Unclassified,,,Unclassified
global influence,1,Unclassified,,,Unclassified
research excellence,1,Unclassified,,,Unclassified
inclusive participation,1,Social,,,Social
artificial intelligence initiative act,1,Unclassified,,,Unclassified
national strategy for ai leadership,1,Unclassified,Respect for Nature,Relational Social Values (Interpersonal,Relational Social Values (Interpersonal
ai policy roadmap,1,Unclassified,,,Unclassified
ai research funding,1,Unclassified,,,Unclassified
ai safety and security,1,Core,,,Core
safe and ethical ai,1,Unclassified,,,Unclassified
human-ai interfaces and robotics,1,Unclassified,Human Flourishing,Contextual and Evaluative Elements,Contextual and Evaluative Elements
multi-agent systems,1,Unclassified,,,Unclassified
ethics and regulation values,1,Unclassified,,,Unclassified
social inclusion,1,Unclassified,,,Unclassified
skills and education,1,Unclassified,,,Unclassified
addressing development challenges,1,Unclassified,,,Unclassified
capacity building,1,Unclassified,,,Unclassified
collaborative efforts values,1,Unclassified,,,Unclassified
beneficial intelligence,1,Unclassified,,,Unclassified
rights and liberties,1,Unclassified,,,Unclassified
bias and inclusion,1,Unclassified,,,Unclassified
labor and automation,1,Unclassified,,,Unclassified
non-maleficence values,1,Unclassified,Non-maleficence,Aspirational Social Values (Goals),Aspirational Social Values (Goals)
customer satisfaction,1,Unclassified,,,Unclassified
illustrative,1,Unclassified,,,Unclassified
cooperative,1,Unclassified,,,Unclassified
ethics risk,1,Unclassified,Digital Ethics (Emerging),Normative,Normative
workforce risk,1,Unclassified,,,Unclassified
technology risk,1,Unclassified,,,Unclassified
trustworthy,1,Social,Trust,Collective Social Values (Societal),Collective Social Values (Societal)
secure,1,Unclassified,,,Unclassified
transparent,1,Unclassified,Transparency,Relationtional Social Values (Interpersonal),Relationtional Social Values (Interpersonal)
supporting,1,Unclassified,,,Unclassified
careful,1,Unclassified,,,Unclassified
multistakeholder engagement,1,Unclassified,,,Unclassified
responsible,1,Unclassified,,,Unclassified
educational enhancement,1,Unclassified,,,Unclassified
scientific discovery,1,Unclassified,,,Unclassified
and data protection,1,Core,,,Core
agricultural advancement,1,Unclassified,,,Unclassified
and safety,1,Core,,,Core
ethics and governance,1,Unclassified,Ethical Governance,Ethical Governance,Ethical Governance
and well-being,1,Unclassified,,,Unclassified
digital literacy,1,Unclassified,,,Unclassified
global well-being,1,Unclassified,,,Unclassified
human,1,Unclassified,Human Flourishing,Contextual and Evaluative Elements,Contextual and Evaluative Elements
social,1,Unclassified,Social Harmony,Regulatory,Regulatory
and environmental wellbeing,1,Unclassified,,,Unclassified
privacy protection and security,1,Core,,,Core
safe and controllable,1,Unclassified,,,Unclassified
promote equal access to technology,1,Unclassified,,,Unclassified
empower human learning and growth,1,Unclassified,Human Flourishing,Contextual and Evaluative Elements,Contextual and Evaluative Elements
bring more freedom and possibilities to humankind,1,Unclassified,,,Unclassified
value alignment values,1,Emerging,,,Emerging
public service enhancement,1,Unclassified,,,Unclassified
informed consent,1,Unclassified,,,Unclassified
optimizing employment,1,Unclassified,,,Unclassified
harmony and cooperation,1,Unclassified,Social Harmony,Regulatory,Regulatory
adaptation and moderation,1,Unclassified,,,Unclassified
subdivision and implementation,1,Unclassified,,,Unclassified
long-term planning values,1,Unclassified,,,Unclassified
talent and research,1,Unclassified,,,Unclassified
infrastructure development,1,Unclassified,,,Unclassified
governance values,1,Unclassified,,,Unclassified
assurance of controllability and trustworthiness,1,Social,Rule of Law,Digital Ethics (Emerging),Digital Ethics (Emerging)
cultivation of ethics,1,Unclassified,Rule of Law,Digital Ethics (Emerging),Digital Ethics (Emerging)
privacy by design,1,Core,,,Core
responsible and value-centric,1,Unclassified,,,Unclassified
control,1,Unclassified,,,Unclassified
preventing bias and inequality,1,Social,,,Social
continuous review and dialogue,1,Unclassified,,,Unclassified
preserving human autonomy,1,Core,,,Core
vulnerability identification and reporting,1,Unclassified,,,Unclassified
information sharing,1,Unclassified,,,Unclassified
ai governance and risk management,1,Unclassified,Ethical Governance,Ethical Governance,Ethical Governance
security controls,1,Core,,,Core
content authentication,1,Unclassified,,,Unclassified
research investment,1,Unclassified,,,Unclassified
global challenges,1,Unclassified,,,Unclassified
international standards,1,Unclassified,,,Unclassified
freedom and autonomy,1,Core,,,Core
equality and justice,1,Core,Justice,Virtues,Virtues
transparency and intelligibility,1,Core,Transparency,Relationtional Social Values (Interpersonal),Relationtional Social Values (Interpersonal)
promoting global unity,1,Unclassified,Global Impact,Structural Values (Systems),Structural Values (Systems)
"ethical ai development
values",1,Unclassified,Ethical Governance,Ethical Governance,Ethical Governance
respect for private life,1,Social,Respect,Virtues,Virtues
ownership,1,Unclassified,,,Unclassified
enhancing human welfare,1,Unclassified,,,Unclassified
prohibition of discrimination,1,Unclassified,Rule of Law,Digital Ethics (Emerging),Digital Ethics (Emerging)
rights-respecting,1,Social,Respect,Virtues,Virtues
access to remedy,1,Unclassified,,,Unclassified
harmony and friendliness,1,Unclassified,Social Harmony,Regulatory,Regulatory
corporate responsibility to respect human rights,1,Core,Responsibility,Core Chosen,Core Chosen
respect for privacy,1,Core,Respect,Virtues,Virtues
safety and controllability,1,Core,,,Core
open collaboration,1,Social,,,Social
agile governance values,1,Unclassified,,,Unclassified
human rights approach,1,Social,,,Social
non discrimination,1,Unclassified,,,Unclassified
political participation,1,Social,,,Social
freedom of expression values,1,Unclassified,Rule of Law,Digital Ethics (Emerging),Digital Ethics (Emerging)
maintaining life purpose,1,Unclassified,,,Unclassified
support for innovation,1,Unclassified,,,Unclassified
regulation and legal frameworks,1,Unclassified,,,Unclassified
global leadership and collaboration,1,Social,Global Impact,Structural Values (Systems),Structural Values (Systems)
ai risk assessment and management,1,Unclassified,,,Unclassified
transparency and public awareness,1,Core,Transparency,Relationtional Social Values (Interpersonal),Relationtional Social Values (Interpersonal)
democratic engagement,1,Unclassified,,,Unclassified
putting people first,1,Unclassified,,,Unclassified
regulatory conditions,1,Unclassified,,,Unclassified
active global ai governance,1,Unclassified,Ethical Governance,Ethical Governance,Ethical Governance
involving stakeholders,1,Unclassified,,,Unclassified
monitoring and continuous development,1,Unclassified,,,Unclassified
state duty to protect human rights,1,Social,Human Flourishing,Contextual and Evaluative Elements,Contextual and Evaluative Elements
access to justice,1,Core,Justice,Virtues,Virtues
and the right to a fair trial,1,Unclassified,,,Unclassified
additionally,1,Unclassified,,,Unclassified
the report proposes two novel human rights,1,Social,Human Flourishing,Contextual and Evaluative Elements,Contextual and Evaluative Elements
bias awareness and mitigation,1,Unclassified,,,Unclassified
human oversight in ai systems,1,Unclassified,Human Flourishing,Contextual and Evaluative Elements,Contextual and Evaluative Elements
accountability in ai-driven research,1,Core,Accountability,Virtues,Virtues
holistic thinking,1,Unclassified,,,Unclassified
relational ai,1,Unclassified,,,Unclassified
community engagement,1,Social,Community,Personal Values,Personal Values
reciprocity,1,Social,,,Social
cultural sovereignty,1,Unclassified,,,Unclassified
indigenous data governance,1,Unclassified,,,Unclassified
knowledge integration,1,Unclassified,,,Unclassified
epistemic plurality,1,Unclassified,,,Unclassified
sovereignty,1,Unclassified,,,Unclassified
regeneration,1,Unclassified,,,Unclassified
value proposition,1,Unclassified,,,Unclassified
usability,1,Unclassified,,,Unclassified
technical assurance,1,Unclassified,,,Unclassified
clinical safety,1,Core,,,Core
data transparency,1,Core,Transparency,Relationtional Social Values (Interpersonal),Relationtional Social Values (Interpersonal)
evidence generation,1,Unclassified,,,Unclassified
commercial strategy,1,Unclassified,,,Unclassified
fostering digital transformation,1,Unclassified,,,Unclassified
ethical use of ai,1,Unclassified,Rule of Law,Digital Ethics (Emerging),Digital Ethics (Emerging)
"environmental responsibility

principles",1,Core,Responsibility,Core Chosen,Core Chosen
privacy and data security,1,Core,,,Core
autonomy in decision-making,1,Core,,,Core
the right not to be measured,1,Unclassified,,,Unclassified
analyzed,1,Unclassified,,,Unclassified
or coached,1,Unclassified,,,Unclassified
and the right to meaningful human contact,1,Unclassified,Human Flourishing,Contextual and Evaluative Elements,Contextual and Evaluative Elements
scientific advancement,1,Unclassified,,,Unclassified
addressing infrastructure challenges,1,Unclassified,,,Unclassified
education and literacy,1,Unclassified,,,Unclassified
human authorship and responsibility,1,Core,Responsibility,Core Chosen,Core Chosen
protection against bias and discrimination,1,Unclassified,,,Unclassified
ethical use across sectors,1,Unclassified,,,Unclassified
fairness and equity,1,Core,Fairness,Personal Values,Personal Values
augmentation,1,Unclassified,,,Unclassified
compute capacity,1,Unclassified,,,Unclassified
innovation centre,1,Unclassified,,,Unclassified
datasets platform,1,Unclassified,,,Unclassified
application development,1,Unclassified,,,Unclassified
futureskills,1,Unclassified,,,Unclassified
startup financing,1,Unclassified,,,Unclassified
"trusted ai
values",1,Social,Trust,Collective Social Values (Societal),Collective Social Values (Societal)
skill enhancement,1,Unclassified,,,Unclassified
inclusivity and sharing,1,Social,,,Social
user safety,1,Core,,,Core
sector-specific guidelines,1,Unclassified,,,Unclassified
transparency values,1,Core,Transparency,Relationtional Social Values (Interpersonal),Relationtional Social Values (Interpersonal)
privacy and consent,1,Core,,,Core
ethical integration of ai in society,1,Unclassified,Ethical Governance,Ethical Governance,Ethical Governance
minimize harm,1,Unclassified,,,Unclassified
distribute benefits and risks,1,Unclassified,,,Unclassified
ethical codes values,1,Unclassified,,,Unclassified
patient welfare,1,Unclassified,,,Unclassified
showing its workings,1,Unclassified,,,Unclassified
creativity,1,Unclassified,,,Unclassified
prohibition of harmful projects,1,Unclassified,Rule of Law,Digital Ethics (Emerging),Digital Ethics (Emerging)
rejection of military funding,1,Unclassified,Rule of Law,Digital Ethics (Emerging),Digital Ethics (Emerging)
exclusion of military-affiliated collaborations,1,Social,Rule of Law,Digital Ethics (Emerging),Digital Ethics (Emerging)
opposition to military applications of ai,1,Unclassified,Rule of Law,Digital Ethics (Emerging),Digital Ethics (Emerging)
opposition to surveillance and privacy invasion,1,Core,,,Core
moral and ethical implications,1,Unclassified,Ethical Governance,Ethical Governance,Ethical Governance
regulatory and governance frameworks,1,Unclassified,Ethical Governance,Ethical Governance,Ethical Governance
technological challenges and opportunities,1,Unclassified,,,Unclassified
ethical considerations in ai design,1,Unclassified,Ethical Governance,Ethical Governance,Ethical Governance
international cooperation on ai standards values,1,Unclassified,,,Unclassified
shared global benefits,1,Unclassified,Global Impact,Structural Values (Systems),Structural Values (Systems)
fostering excellence in ai,1,Unclassified,,,Unclassified
ensuring trustworthiness,1,Social,Trust,Collective Social Values (Societal),Collective Social Values (Societal)
minimization of bias,1,Unclassified,Rule of Law,Digital Ethics (Emerging),Digital Ethics (Emerging)
prevention of harm,1,Unclassified,Rule of Law,Digital Ethics (Emerging),Digital Ethics (Emerging)
collaborative progress,1,Unclassified,,,Unclassified
respect for human autonomy,1,Core,Respect,Virtues,Virtues
ethics and regulatory framework,1,Unclassified,,,Unclassified
fairness and equal opportunity,1,Core,Fairness,Personal Values,Personal Values
comparing algorithmic systems,1,Unclassified,,,Unclassified
algorithmic bias and fairness,1,Core,Fairness,Personal Values,Personal Values
data privacy and security,1,Core,,,Core
accountability and governance,1,Core,Accountability,Virtues,Virtues
informed consent values,1,Unclassified,,,Unclassified
impact on healthcare employment,1,Unclassified,Global Impact,Structural Values (Systems),Structural Values (Systems)
regulatory and ethical oversight,1,Unclassified,Ethical Governance,Ethical Governance,Ethical Governance
inclusive policy development,1,Unclassified,,,Unclassified
ethical ai design,1,Unclassified,,,Unclassified
continuous monitoring and evaluation,1,Unclassified,,,Unclassified
strengthening regulatory frameworks,1,Unclassified,,,Unclassified
data agency,1,Unclassified,,,Unclassified
ethical foundations,1,Unclassified,,,Unclassified
