Ethical Term,Frequency,Category
startup financing,1,Unclassified
"trusted ai
values",1,Social
skill enhancement,1,Unclassified
inclusivity and sharing,1,Social
user safety,1,Core
sector-specific guidelines,1,Unclassified
transparency values,1,Core
privacy and consent,1,Core
ethical integration of ai in society,1,Unclassified
minimize harm,1,Unclassified
distribute benefits and risks,1,Unclassified
ethical codes values,1,Unclassified
patient welfare,1,Unclassified
showing its workings,1,Unclassified
creativity,1,Unclassified
prohibition of harmful projects,1,Unclassified
rejection of military funding,1,Unclassified
exclusion of military-affiliated collaborations,1,Social
opposition to military applications of ai,1,Unclassified
opposition to surveillance and privacy invasion,1,Core
moral and ethical implications,1,Unclassified
regulatory and governance frameworks,1,Unclassified
technological challenges and opportunities,1,Unclassified
ethical considerations in ai design,1,Unclassified
international cooperation on ai standards values,1,Unclassified
shared global benefits,1,Unclassified
fostering excellence in ai,1,Unclassified
ensuring trustworthiness,1,Social
minimization of bias,1,Unclassified
prevention of harm,1,Unclassified
collaborative progress,1,Unclassified
respect for human autonomy,1,Core
ethics and regulatory framework,1,Unclassified
fairness and equal opportunity,1,Core
comparing algorithmic systems,1,Unclassified
algorithmic bias and fairness,1,Core
data privacy and security,1,Core
accountability and governance,1,Core
informed consent values,1,Unclassified
impact on healthcare employment,1,Unclassified
regulatory and ethical oversight,1,Unclassified
inclusive policy development,1,Unclassified
ethical ai design,1,Unclassified
continuous monitoring and evaluation,1,Unclassified
strengthening regulatory frameworks,1,Unclassified
data agency,1,Unclassified
ethical foundations,1,Unclassified
policy and regulation values,1,Unclassified
interdisciplinary integrity,1,Unclassified
safety and risk reduction,1,Core
human autonomy and control,1,Core
ethical decision-making in dilemma situations,1,Unclassified
responsibility and liability,1,Core
promoting human-centric ai,1,Unclassified
boosting research and industrial capacity,1,Unclassified
economic transformation,1,Unclassified
innovation-driven development,1,Unclassified
righteous duty,1,Unclassified
transparency and disclosure,1,Core
accuracy and fact-checking,1,Core
bias awareness,1,Unclassified
dharma,1,Unclassified
environmental impact,1,Unclassified
clear communications about the origin of content for generative ai,1,Unclassified
decision-making process,1,Unclassified
human-centered development,1,Unclassified
ai ecosystems,1,Unclassified
transfer and application,1,Unclassified
regulatory framework,1,Unclassified
testing,1,Unclassified
certification,1,Unclassified
sociotechnical systems,1,Unclassified
integration,1,Unclassified
technology leadership,1,Unclassified
environmental and climate protection,1,Unclassified
european ai ecosystem values,1,Unclassified
scientific integrity,1,Unclassified
bold innovation,1,Unclassified
transformation,1,Unclassified
ethical global governance,1,Unclassified
fostering research collaboration,1,Social
free will,1,Unclassified
under user control,1,Unclassified
respect of fundamental rights,1,Social
quality,1,Unclassified
respect for fundamental rights,1,Social
quality and security,1,Core
impartiality and fairness,1,Core
under user control values,1,Unclassified
labor rights,1,Unclassified
information integrity,1,Unclassified
purushartha,1,Unclassified
ethical framework,1,Unclassified
world as one family,1,Unclassified
justifiability,1,Unclassified
internal accountability,1,Core
transparency and openness,1,Core
inclusivity and diversity,1,Social
sustainability values,1,Unclassified
vasudhaiva kutumbakam,1,Unclassified
human oversight values,1,Unclassified
open data policy,1,Unclassified
theological reflection on ai ethics,1,Unclassified
