Document ID,Title,Researcher,Year,Issuer,Country,Source URL,Extracted Terms,Normalized Values,Values Referenced,Principles Mentioned,Downloaded,Source Group,Notes
D071,DeepMind Ethics & Society,Hinrichs,2025.0,Deep Minds,UK,DeepMind Ethics & Society,"Principles: privacy, transparency, fairness, economic and social impacts, governance, accountability; Values: managing AI risk, AI morality and values, addressing global challenges"," managing AI risk, AI morality and values, addressing global challenges",,,N,Hinrichs,
D072,Digital Decisions,Jobin,2017.0,Center for Democracy & Technology,USA,https://cdt.org/insights/digital-decisions-tool/?form=MG0AV3,"Principles: automated decision-making, ethical design practices, interactive self-assessment; Values: fairness, accountability, disparate impacts, transparency, trust"," fairness, accountability, disparate impacts, transparency, trust",,,N,Jobin,
D073,Directive on Automated Decision-Making,Hinrichs,2019.0,Treasury Board of Canada Secretariat,Canada,Directive on Automated Decision-Making,"Principles: transparency, accountability, legality, procedural fairness; Values: ethical responsibility, societal trust, inclusivity, fairness"," ethical responsibility, societal trust, inclusivity, fairness",,,N,Hinrichs,
D074,Discussion Paper on Artificial Intelligence (AI) and Personal Data—Fostering Responsible Development and Adoption of AI,Jobin,2018.0,Personal Data Protection Commission Singapore,Singapore,https://www.pdpc.gov.sg/-/media/Files/PDPC/PDF-Files/Resource-for-Organisation/AI/Discussion-Paper-on-AI-and-PD---050618.pdf,"AI benefits and risks, AI governance framework, stakeholder roles, data protection by design, transparency, fairness, human-centricity",,,,N,Jobin,
D075,Discussion Paper: National Strategy for Artificial Intelligence,Jobin,2018.0,National Institution for Transforming India (NITI Aayog),India,https://www.niti.gov.in/sites/default/files/2023-03/National-Strategy-for-Artificial-Intelligence.pdf?form=MG0AV3,"Healthcare, agriculture, education, smart cities and infrastructure, smart mobility and transportation, data availability and quality, skilled workforce, ethical considerations, privacy, security, research and development, skilling for the AI age, accelerating adoption, ethics, privacy, security",,,,N,Jobin,
D076,DoD Ethical Principles for Artificial Intelligence,Hinrichs,2020.0,Department of Defense,USA,DoD Ethical Principles for Artificial Intelligence,"Principles: responsibility, equitable, traceable, reliable, governable; Values: ethical responsibility, fairness, transparency, accountability, safety"," ethical responsibility, fairness, transparency, accountability, safety",,,N,Hinrichs,
D077,Draft AI R&D Guidelines for International Discussions,Jobin,2017.0,"Institute for Information and Communications Policy (IICP), The Conference toward AI Network Society",Japan,https://www.soumu.go.jp/main_content/000507517.pdf?form=MG0AV3,"ethical considerations, governance, societal impacts, international collaboration, AI R&D guidelines, global standards, AI development best practices",,,,N,Jobin,
D078,Dutch Artificial Intelligence Manifesto,Jobin,2018.0,"Special Interest Group on Artificial Intelligence (SIGAI), The Netherlands",Netherlands,https://ii.tudelft.nl/bnvki/wp-content/uploads/2018/09/Dutch-AI-Manifesto.pdf?form=MG0AV3,"Principles: national AI alliance, investment in foundational AI research, tackling multidisciplinary AI challenges, human capital development, research and innovation, data sharing, human-centric AI, support for startups Values: fostering innovation, inclusion, collaboration, ethical responsibility"," fostering innovation, inclusion, collaboration, ethical responsibility",,,N,Jobin,
D079,Ethical Framework for a Good AI Society,Hinrichs,2019.0,"European Institute for Science, Media, and Democracy (EISMD)",EU,EISMD Website,"Principles: beneficence, non-maleficence, autonomy, justice, explicability; Values: human dignity, fairness, transparency, accountability, sustainability"," human dignity, fairness, transparency, accountability, sustainability",,,N,Hinrichs,
D080,Ethical Framework for a Good AI Society,Hinrichs,2019.0,"European Institute for Science, Media, and Democracy (EISMD)",EU,Ethical Framework for a Good AI Society (PDF),"Principles: beneficence, non-maleficence, authonomy, justice, explicability; Values: human dignity, fairness, transparency, accountability, sustainability"," human dignity, fairness, transparency, accountability, sustainability",,,N,Hinrichs,
D081,Ethical Governance of Artificial Intelligence,Hinrichs,2025.0,Tsinghua University AI Institute,China,Ethical Governance of Artificial Intelligence,"Principles: ethical governance of artificial intelligence, global AI governance frameworks, AI governance ethics; Values: fairness, justice, security, privacy, inclusivity, shared responsibility, openness, collaboration"," fairness, justice, security, privacy, inclusivity, shared responsibility, openness, collaboration",,,N,Hinrichs,
D082,Ethical Norms for New Generation Artificial Intelligence,Hinrichs,2021.0,"Ministry of Science and Technology, China",China,Ethical Norms for New Generation Artificial Intelligence,"Principles: innovation, harmony, fairness, justice, security, privacy, inclusivity, shared responsibility, openness, collaboration; Values: ethical responsibility, societal trust, inclusivity, sustainability"," ethical responsibility, societal trust, inclusivity, sustainability",,,N,Hinrichs,
D083,"Ethical norms for the new generation artificial intelligence. Ministry of Science and Technology of the People's Republic of China.
",Hinrichs,2021.0,Ministry for Security and Emerging Technologies,China,https://www.most.gov.cn/kjbgz/202109/t20210926_177063.html,"advancement of human welfare, promotion of fairness and justice, protection of privacy and security, assurance of controllability and trustworthiness, strengthening of accountability, cultivation of ethics",,,,N,Hinrichs,
D084,Ethical Principles for Artificial Intelligence and  Data Analytics,Jobin,2017.0,"Software & Information Industry Association (SIIA), Public Policy Division",USA,I have this document on my hard drive,"non-discrimination, transparency, accountability, sector-specific guidelines, ethics and regulatory framework, fairness and equal opportunity, comparing algorithmic systems",,,,N,Jobin,
D085,"Ethical, Social, and Political Challenges of Artificial Intelligence in Health",Jobin,2018.0,Future Advocacy,UK,https://futureadvocacy.com/publications/ethical-social-and-political-challenges-of-artificial-intelligence-in-health/,"Principles: algorithmic bias and fairness, transparency and explainability, data privacy and security, accountability and governance, informed consent Values: impact on healthcare employment, regulatory and ethical oversight, inclusive policy development, ethical AI design, continuous monitoring and evaluation, strengthening regulatory frameworks"," impact on healthcare employment, regulatory and ethical oversight, inclusive policy development, ethical AI design, continuous monitoring and evaluation, strengthening regulatory frameworks",,,N,Jobin,
D086,Ethically Aligned Design: A Vision for Prioritizing Human Well-being with Autonomous and Intelligent Systems​,Floridi,2017.0,IEEE Global Initiative on Ethics of Autonomous and Intelligent Systems,International,IEEE Ethically ALigned Design v2,"Principles: inclusive growth, sustainable development, well-being, human rights, democratic values, fairness, privacy, transparency, explainability, robustness, security, safety, accountability; Values: innovation, trustworthiness, respect for human rights, democratic values, non-discrimination, equality, freedom, dignity, autonomy, privacy, data protection, diversity, social justice, labour rights, environmental sustainability, responsible business conduct"," innovation, trustworthiness, respect for human rights, democratic values, non-discrimination, equality, freedom, dignity, autonomy, privacy, data protection, diversity, social justice, labour rights, environmental sustainability, responsible business conduct",,,N,Floridi,
D087,Ethically Aligned Design: Version 2,Harvard,2017.0,IEEE,USA,Ethically ALigned Design: V2,"Principles: Human rights, well-being, accountability, transparency, awareness of misuse, competence. Values: Human rights, well-being, accountability, transparency, awareness of misuse, competence."," Human rights, well-being, accountability, transparency, awareness of misuse, competence.",,,N,Harvard,
D088,"Ethically Aligned Design:
Version 1.1",Jobin,2017.0,IEEE Global Initiative on Ethics of Autonomous and Intelligent Systems,USA,https://standards.ieee.org/wp-content/uploads/import/documents/other/ead1e.pdf?form=MG0AV3,"Principles: human rights, well-being, data agency, effectiveness, transparency, accountability, awareness of misuse, competence, sustainable development, ethical foundations, interdisciplinary collaboration, policy and regulation Values: ethical responsibility, societal trust, human-centric development, interdisciplinary integrity"," ethical responsibility, societal trust, human-centric development, interdisciplinary integrity",,,N,Jobin,
D089,Ethics and Governance of Artificial Intelligence,Hinrichs,2020.0,"MIT, Daniela Rus",USA,"https://cyberir.mit.edu/site/global-landscape-ai-ethics-guidelines/?form=MG0AV3
https://scholar.google.com/citations?user=910z20QAAAAJ&hl=en&form=MG0AV3","Principles: Transparency, accountability, fairness, privacy, safety, inclusivity.​
Values: Trust, ethical responsibility, respect, diversity, innovation."," Trust, ethical responsibility, respect, diversity, innovation.",,,N,Hinrichs,
D090,Ethics Commission Report on Automated and Connected Driving,Jobin,2017.0,"Federal Ministry for Digital and Transport (BMDV), Germany",Germany,https://bmdv.bund.de/SharedDocs/EN/publications/report-ethics-commission-automated-and-connected-driving.pdf?__blob=publicationFile&form=MG0AV3,"Principles: safety and risk reduction, human autonomy and control, ethical decision-making in dilemma situations, privacy and data protection, responsibility and liability; Values: fairness, accountability, transparency, ethical responsibility"," fairness, accountability, transparency, ethical responsibility",,,N,Jobin,
D091,Ethics Guidelines for Trustworthy AI,Harvard,2019.0,High-Level Expert Group on Artificial Intelligence (AI HLEG),Belgium,Ethical Guidelines for Trustworthy AI,"Principles: human agency and oversight, technical robustness and safety, privacy and data governance, transparency, diversity, non-discrimination, fairness, societal and environmental well-being, accountability",,,,N,Harvard,
D092,Ethics Guidelines for Trustworthy AI,Jobin,2019.0,"High-Level Expert Group on Artificial Intelligence (AI HLEG), European Commission",EU,https://digital-strategy.ec.europa.eu/en/library/ethics-guidelines-trustworthy-ai?form=MG0AV3,"Principles: respect for human autonomy, prevention of harm, fairness, explicability, human agency and oversight, technical robustness and safety, privacy and data governance, transparency Values: diversity, non-discrimination, societal and environmental well-being, accountability"," diversity, non-discrimination, societal and environmental well-being, accountability",,,N,Jobin,
D093,Ethics of Artificial Intelligence,Hinrichs,2025.0,The Royal Society,UK,Ethics of Artificial Intelligence,"Principles: responsible AI development, fairness, transparency, accountability, minimization of bias, privacy and consent, ethical integration of AI in society; Values: societal trust, ethical responsibility, inclusivity, safety, fairness"," societal trust, ethical responsibility, inclusivity, safety, fairness",,,N,Hinrichs,
D094,Ethics of Artificial Intelligence in Radiology: Summary of the Joint European and North American Multisociety Statement,Jobin,2019.0,"Joint European and North American Multisociety (including ACR, RSNA, ESR, and others)",USA,https://pubs.rsna.org/doi/pdf/10.1148/radiol.2019191586?form=MG0AV3,"Principles: well-being, minimize harm, distribute benefits and risks, transparency, accountability, human responsibility, ethical codes Values: patient welfare, common good, ethical responsibility, societal trust"," patient welfare, common good, ethical responsibility, societal trust",,,N,Jobin,
D095,Ethics of Code: Developing AI for Business with Five Core Principles,Jobin,2017.0,Sage,UK,https://www.sage.com/investors/-/media/files/company/documents/pdf/business%20builders/latest%20news/business%20builders%20ethics%20of%20code.pdf?form=MG0AV3,"Diversity, transparency, showing its workings, creativity, accountability, inclusivity,  responsibility",,,,N,Jobin,
D096,Ethics Policy,Jobin,2017.0,Icelandic Institute for Intelligent Machines,Iceland,https://www.iiim.is/ethics-policy/?form=MG0AV3,"prohibition of harmful projects, rejection of military funding, exclusion of military-affiliated collaborations, opposition to military applications of AI, opposition to surveillance and privacy invasion",,,,N,Jobin,
D097,Ethique de la Recherche en Robotique,Jobin,2014.0,CERNA (Allistene),France,https://hal.science/ALLISTENE-CERNA/hal-01086579v1,"Principles: moral and ethical implications, regulatory and governance frameworks, technological challenges and opportunities, ethical considerations in AI design, international cooperation on AI standards Values: fairness, accountability, shared global benefits"," fairness, accountability, shared global benefits",,,N,Jobin,
D098,European Approach to Artificial Intelligence,Harvard,2020.0,European Commission,UK,EU Ethical Charter on the use of AI in Judicial Systems,"Principles: fostering excellence in AI, ensuring trustworthiness, promoting human-centric AI, boosting research and industrial capacity; Values: safety, fundamental rights, innovation, collaboration, ethical AI use"," safety, fundamental rights, innovation, collaboration, ethical AI use",,,N,Harvard,
D099,European Commission AI and Robotics Framework,Jobin,2019.0,European Commission,EU,"https://op.europa.eu/en/publication-detail/-/publication/dfebe62e-4ce9-11e8-be1d-01aa75ed71a1?form=MG0AV3
https://www.unapcict.org/sites/default/files/2019-01/EC_AI-%20Robotics-%20and%20Autonomous%20Systems.pdf?form=MG0AV4","Principles: human dignity, autonomy, responsibility, justice, equality, non-discrimination, privacy, safety, transparency, accountability, democracy, rule of law; Values: human rights, ethical responsibility, fairness, security, societal well-being"," human rights, ethical responsibility, fairness, security, societal well-being",,,N,Jobin,
D100,European Ethical Charter on the Use of Artificial Intelligence in Judicial Systems,Jobin,2018.0,"European Commission for the Efficiency of Justice (CEPEJ), Council of Europe",EU,"
https://rm.coe.int/ethical-charter-en-for-publication-4-december-2018/16808f699c","Principles: security, transparency, impartiality, fairness, under user control; Values: respect of fundamental rights, non-discrimination, quality"," respect of fundamental rights, non-discrimination, quality",,,N,Jobin,
D101,European Ethical Charter on the Use of Artificial Intelligence in Judicial Systems and Their Environment,Harvard,2018.0,"European Commission for the Efficiency of Justice (CEPEJ), under the Council of Europe.",France,European Ethical Charter on the use of AI in Judicial SYstems 2018,"Principles: respect for fundamental rights, non-discrimination, quality and security, transparency, impartiality and fairness, under user control Values: ethical responsibility, justice, inclusivity, societal trust, accountability"," ethical responsibility, justice, inclusivity, societal trust, accountability",,,N,Harvard,
D102,European Strategy on AI: Are we truly fostering social good,Harvard,2020.0,"Foffano, F., Scantamburlo, T, Cortes, A, & Bissolo, C. ",EU,European Strategy on AI Harvard,"Principles: Inclusive growth, sustainable development, well-being, human rights, democratic values, fairness, privacy, transparency, explainability, robustness, security, safety, accountability​
Values: Innovation, trustworthiness, respect for human rights, democratic values, non-discrimination, equality, freedom, dignity, autonomy, privacy, data protection, diversity, social justice, labor rights, environmental sustainability, responsible business conduct"," Innovation, trustworthiness, respect for human rights, democratic values, non-discrimination, equality, freedom, dignity, autonomy, privacy, data protection, diversity, social justice, labor rights, environmental sustainability, responsible business conduct",,,N,Harvard,
D103,Everyday Ethics for Artificial Intelligence,Harvard,2019.0,IBM,USA,Everyday ethics for AI,"Principles: Accountability, value alignment, explainability, fairness, user data rights. Values: Ethical responsibility, transparency, inclusivity, privacy, trust."," Ethical responsibility, transparency, inclusivity, privacy, trust.",,,N,Harvard,
D104,Everyday Ethics for Artificial Intelligence. A Practical Guide for Designers and Developers,Jobin,2018.0,IBM,USA,https://www.ibm.com/watson/assets/duo/pdf/everydayethics.pdf?form=MG0AV3,"accountability, value alignment, explainability, fairness, user data rights",,,,N,Jobin,
D105,Evolving with innovation: The 2024 OECD AI Principles Update,Hinrichs,2024.0,Organisation for Economic Co-operation and Development (OECD),International,Evolving with Innovation: The 2024 OECD AI Principles Update,"Principles: safety, privacy, intellectual property rights, information integrity, fairness, transparency, accountability, environmental sustainability, interoperability, proactive governance; Values: trustworthiness, ethical AI governance, global cooperation, inclusivity, sustainability"," trustworthiness, ethical AI governance, global cooperation, inclusivity, sustainability",,,N,Hinrichs,
D106,Evolving with Innovation: The 2024 OECD AI Principles Update,Hinrichs,2024.0,Organisation for Economic Co-operation and Development (OECD),International,Evolving with innovation: The 2024 OECD AI Principles Update,"Principles: inclusive growth, sustainable development, well-being, human-centered values, fairness, transparency, explainability, robustness, security, safety, accountability, addressing mis- and disinformation, safeguarding information integrity, responsible business conduct, environmental sustainability; Values: human rights, democratic values, privacy, data protection, non-discrimination, equality, diversity, social justice, ethical responsibility, global interoperability"," human rights, democratic values, privacy, data protection, non-discrimination, equality, diversity, social justice, ethical responsibility, global interoperability",,,N,Hinrichs,
D107,FEAT Principles,Harvard,2017.0,Monetary Authority of Singapore (MAS),Singapore,FEAT Principles,"Principles: fairness, accountability, transparency; Values: ethical AI use, trust, responsibility"," ethical AI use, trust, responsibility",,,N,Harvard,
D108,"FEAT Principles (Fairness, Ethics, Accountability, Transparency)",Hinrichs,2018.0,Monetary Authority of Singapore (MAS),Singapore,FEAT Principles,"Principles: fairness, ethics, accountability, transparency, justifiability, accuracy, bias minimization; Values: ethical AI use, trust, responsibility, internal accountability, proactive governance"," ethical AI use, trust, responsibility, internal accountability, proactive governance",,,N,Hinrichs,
D109,For a Meaningful Artificial Intelligence,Hinrichs,2021.0,Cedric Villani,France,For a Meaningful AI: Towars a French and European Strategy,"Principles: Human-centric AI, transparency, trust, security, data governance, digital sovereignty, sustainability, AI safety, innovation, fairness, accountability, inclusivity, interoperability, AI governance, collaboration; Values: Economic growth, societal well-being, environmental responsibility, competitiveness, responsible AI development, digital inclusion"," Economic growth, societal well-being, environmental responsibility, competitiveness, responsible AI development, digital inclusion",,,N,Hinrichs,
D110,For a Meaningful Artificial Intelligence. Towards a French and European Strategy,Jobin,2018.0,"Mission Villani
Cedric Villani",France,https://comite-etica.upc.edu/ca/actualitat/media/missionvillani_report_eng-vf.pdf?form=MG0AV3,"Principles: ethical design, transparency and openness, inclusivity and diversity, accountability, sustainability Values: fairness and justice, human-centric AI, public interest"," fairness and justice, human-centric AI, public interest",,,N,Jobin,
D111,For a Meaningful Artificial Intelligence: Towards a French and European Strategy,Harvard,2018.0,"Cédric Villani, French Parliament",France,For a Meaningful Artificial Intelligence: Towards a French and European Strategy,"Principles: transparency, fairness, responsibility, privacy, inclusivity, sustainability, human oversight Values: ethical responsibility, societal trust, equity, collaboration, long-term vision"," ethical responsibility, societal trust, equity, collaboration, long-term vision",,,N,Harvard,
D112,France AI Strategy Report,Hinrichs,2018.0,European Commission,France,France AI Strategy Report,"Principles: human capital development, open data policy, ethical framework; Values: innovation, transparency, accountability, inclusivity"," innovation, transparency, accountability, inclusivity",,,N,Hinrichs,
D113,France AI Strategy Report,Hinrichs,2019.0,French Government,France,France AI Strategy Report (PDF),"Principles: transparency, accountability, innovation, fostering research collaboration; Values: societal well-being, inclusivity, human-centric development, environmental sustainability"," societal well-being, inclusivity, human-centric development, environmental sustainability",,,N,Hinrichs,
D114,G20 2017 Task Force Report,Hinrichs,2017.0,Global Solutions Initiative,Germany,G20 2017 Task Force Report Germany,"Principles: resilience, sustainability, responsibility, integrity, inclusiveness; Values: ethical global governance, collaboration, societal well-being, environmental stewardship"," ethical global governance, collaboration, societal well-being, environmental stewardship",,,N,Hinrichs,
D115,G20 AI Principles,Harvard,2019.0,G20 (via OECD AI),International,G20 AI Principles,"Principles: Inclusive growth, sustainable development, well-being, human-centered values, fairness, transparency, explainability, robustness, security, safety, accountability. Values: Human rights, democratic values, privacy, data protection, non-discrimination, equality, diversity, social justice."," Human rights, democratic values, privacy, data protection, non-discrimination, equality, diversity, social justice.",,,N,Harvard,
D116,G20 AI Principles,Hinrichs,2019.0,Organisation for Economic Co-operation and Development (OECD),France,G20 Ministerial Statement on Trade and Digital Economy,"Principles: transformation, technological innovation, inclusive growth, sustainable development, well-being, human-centered values and equity, transparency and responsible disclosure, robustness, security, safety, accountability; Values: societal well-being, ethical responsibility, global cooperation, equitable development"," societal well-being, ethical responsibility, global cooperation, equitable development",,,N,Hinrichs,
D117,General Data Protection Regulation (GDPR),Hinrichs,2016.0,European Union,EU,Genderal Data Protection Regulation (GDPR),"Principles: lawfulness, fairness, transparency, purpose limitation, data minimization, accuracy, storage limitation, integrity, confidentiality, accountability; Values: privacy, data protection, individual rights, fairness, transparency, security, trust, autonomy"," privacy, data protection, individual rights, fairness, transparency, security, trust, autonomy",,,N,Hinrichs,
D118,General Data Protection Regulation (GDPR),Hinrichs,2024.0,European Union,International,General Data Protection Regulation (GDPR) - 2024 Update,"Principles: lawfulness, fairness, transparency, purpose limitation, data minimization, accuracy, storage limitation, integrity, confidentiality, accountability, AI ethics, sustainability; Values: privacy, data protection, individual rights, fairness, transparency, security, trust, autonomy, ethical AI use, environmental responsibility"," privacy, data protection, individual rights, fairness, transparency, security, trust, autonomy, ethical AI use, environmental responsibility",,,N,Hinrichs,
D119,Generative AI Ethics,Hinrichs,2025.0,"Markkula Center for Applied Ethics, Santa Clara University",USA,Generative AI and Ethics,"Principles: transparency and disclosure, accuracy and fact-checking, bias awareness, intellectual property rights, academic integrity, environmental impact, clear communications about the origin of content for generative AI, decision-making process; Values: transparency, accountability, ethical responsibility, trust, sustainability"," transparency, accountability, ethical responsibility, trust, sustainability",,,N,Hinrichs,
D120,German AI Strategy (Updated Version),Hinrichs,2020.0,Federal Government of Germany,Germany,German AI Strategy (Updated Version),"Principles: human-centered development, research and innovation, AI ecosystems, transfer and application, regulatory framework, societal dialogue; Values: inclusivity, sustainability, societal trust, collaboration, innovation"," inclusivity, sustainability, societal trust, collaboration, innovation",,,N,Hinrichs,
D121,German Standardization Roadmap on Artificial Intelligence,Hinrichs,2023.0,DIN (Deutsches Institut für Normung e.V.),Germany,German Standardization Roadmap on Artificial Intelligence 2nd Edition,"Principles: human-centered AI, fairness, transparency, accountability, security, safety, testing, certification, sociotechnical systems; Values: ethical responsibility, societal trust, inclusivity, innovation, sustainability"," ethical responsibility, societal trust, inclusivity, innovation, sustainability",,,N,Hinrichs,
D122,Germany AI Strategy,Harvard,2018.0,German Federal Government,Germany,Germany AI Strategy,"Principles: competitiveness, responsibility, integration, technology leadership, responsible AI development, environmental and climate protection, societal dialogue, European AI ecosystem Values: innovation, sustainability, ethical responsibility, collaboration, inclusivity"," innovation, sustainability, ethical responsibility, collaboration, inclusivity",,,N,Harvard,
D123,Google AI Principles,Harvard,2018.0,Google,USA,Google AI Principles,"Principles: be socially beneficial, avoid creating or reinforcing unfair bias, be built and tested for safety, be accountable to people, incorporate privacy design principles, uphold high standards of scientific excellence, be made available for uses that accord with these principles; Values: fairness, transparency, accountability, privacy, scientific integrity"," fairness, transparency, accountability, privacy, scientific integrity",,,N,Harvard,
D124,Google AI Principles,Hinrichs,2018.0,Google,USA,Google AI Principles,"Principles: bold innovation, responsibility, collaborative progress; Values: user safety, security, privacy, ethical AI use"," user safety, security, privacy, ethical AI use",,,N,Hinrichs,
D125,Governance Principles for a New Generation of AI,Harvard,2019.0,China's Ministry of Science and Technology,China,Governance Principles for a New Generation of AI,"Principles: harmony and friendliness, fairness and justice, inclusivity and sharing, respect for privacy, safety and controllability, shared responsibility, open collaboration, agile governance Values: societal trust, ethical responsibility, inclusivity, collaboration, sustainability"," societal trust, ethical responsibility, inclusivity, collaboration, sustainability",,,N,Harvard,
D126,Governing Artificial Intelligence. Upholding Human Rights & Dignity,Jobin,2018.0,Data & Society,USA,https://datasociety.net/library/governing-artificial-intelligence/,"Principles: human rights approach, non discrimination, equality, political participation, privacy, freedom of expression Values: fairness, inclusivity, transparency, ethical responsibility"," fairness, inclusivity, transparency, ethical responsibility",,,N,Jobin,
D127,Government-Wide Vision on Generative AI of the Netherlands,Hinrichs,2024.0,Government of the Netherlands,Netherlands,Government wide vision on generative AI of the Netherlands,"Principles: human-centered approach, transparency, fairness and justice, accountability, sustainability, privacy and security, democratic participation, human oversight, AI governance framework, support for innovation, education and training, regulation and legal frameworks, global leadership and collaboration, AI risk assessment and management, transparency and public awareness; Values: ethical responsibility, societal trust, inclusivity, sustainability, innovation, democratic engagement"," ethical responsibility, societal trust, inclusivity, sustainability, innovation, democratic engagement",,,N,Hinrichs,
D128,Guidelines on Artificial Intelligence for the Confederation,Hinrichs,2020.0,Swiss Federal Council,Switzerland,Guidelines on Artificial Intelligence for the Confederation,"Principles: putting people first, regulatory conditions, transparency, traceability, and explainability, accountability, safety, active global AI governance, involving stakeholders, monitoring and continuous development; Values: ethical responsibility, inclusivity, trust, safety, proactive governance"," ethical responsibility, inclusivity, trust, safety, proactive governance",,,N,Hinrichs,
D129,Guiding Principles on Business and Human Rights,Hinrichs,2011.0,United Nations Office of the High Commissioner for Human Rights (OHCHR),USA,Guiding Principles on Business and Human Rights,"Principles: state duty to protect human rights, corporate responsibility to respect human rights, access to remedy; Values: human dignity, equality, justice, accountability"," human dignity, equality, justice, accountability",,,N,Hinrichs,
D130,Guiding Principles on Trusted AI Ethics,Harvard,2019.0,Telia Company,Sweden,Guiding Principles of Trust AI Ethics,"Principles: Responsible and value-centric, human-centric, rights-respecting, control, accountability, safety and security, transparency and explainability, fairness and equality, continuous review and dialogue. Values: Responsibility, human dignity, human rights, accountability, safety, transparency, fairness, continuous improvement."," Responsibility, human dignity, human rights, accountability, safety, transparency, fairness, continuous improvement.",,,N,Harvard,
D131,Hiroshima Process International Code of Conduct for Organizations Developing Advanced AI Systems,Hinrichs,2024.0,"Ministry of Foreign Affairs, Japan",Japan,Hiroshima Process International Code of Conuct for Organizations Developing Advanced AI Systems,"Principles: risk mitigation, vulnerability identification and reporting, transparency, information sharing, AI governance and risk management, security controls, content authentication, research investment, global challenges, international standards, data protection; Values: ethical responsibility, global cooperation, security, trust"," ethical responsibility, global cooperation, security, trust",,,N,Hinrichs,
D132,How Can Humans Keep the Upper Hand? Report on the Ethical Matters Raised by AI Algorithms,Jobin,2017.0,French Data Protection Authority (CNIL),France,https://www.cnil.fr/en/how-can-humans-keep-upper-hand-report-ethical-matters-raised-algorithms-and-artificial-intelligence?form=MG0AV3,"Respect for human dignity, freedom and autonomy, equality and justice, transparency and intelligibility, responsibility, non-maleficence, privacy and data protection",,,,N,Jobin,
D133,Human Rights and artificial intelligence (CDDH-IA),Hinrichs,2024.0,"Human Rights intergovernmental Cooperation, Council of Europe",Council of Europe,Human Rights and Artificial Intelligence (CDDH-IA),"Principles: human rights protection, democracy, rule of law, ethical AI development, transparency, accountability; Values: dignity, fairness, justice, responsibility, trust"," dignity, fairness, justice, responsibility, trust",,,N,Hinrichs,
D134,Human Rights in the Age of Artificial Intelligence,Harvard,2018.0,Access Now,International,Access Now AI and Human Rights Report,"Principles: Transparency, accountability, fairness, data protection, human rights protection, non-discrimination, human oversight, ethical AI development
Values: Human rights, equality, privacy, justice, autonomy"," Human rights, equality, privacy, justice, autonomy",,,N,Harvard,
D135,Human Rights in the Robot Age Report,Jobin,2018.0,The Rathenau Institute,Netherlands,https://www.rathenau.nl/sites/default/files/2018-02/Human%20Rights%20in%20the%20Robot%20Age-Rathenau%20Instituut-2017.pdf?form=MG0AV3,"Principles: Respect for private life, human dignity, ownership, safety, liability, freedom of expression, prohibition of discrimination, access to justice, and the right to a fair trial. Additionally, the report proposes two novel human rights: the right not to be measured, analyzed, or coached, and the right to meaningful human contact. 
Values: Privacy, human dignity, autonomy, safety, freedom of expression, non-discrimination, justice, meaningful human interaction."," Privacy, human dignity, autonomy, safety, freedom of expression, non-discrimination, justice, meaningful human interaction.",,,N,Jobin,
D136,Human-Centric AI Principles,Harvard,2019.0,"Council for Science, Technology and Innovation, Japan",Japan,Human-Centric AI Principles,"Principles: Human-centric approach, education and literacy, privacy protection, security, fairness, accountability, transparency, inclusivity, sustainability, collaboration; Values: Human dignity, privacy, security, fairness, accountability, transparency, inclusivity, sustainability, collaboration"," Human dignity, privacy, security, fairness, accountability, transparency, inclusivity, sustainability, collaboration",,,N,Harvard,
D137,Humans and machines - Challenges of artificial intelligence,Hinrichs,2023.0,German Ethics Council (Deutscher Ethikrat),Germany,Humans and Machines - Challenges of Artificial Intelligence,"Principles: human authorship and responsibility, transparency, fairness, protection against bias and discrimination, privacy and security, social justice, autonomy in decision-making, ethical use across sectors; Values: ethical responsibility, societal trust, inclusivity, sustainability, human dignity"," ethical responsibility, societal trust, inclusivity, sustainability, human dignity",,,N,Hinrichs,
D138,IBM’s Principles for Trust and Transparency,Jobin,2018.0,IBM,USA,"https://www.ibm.com/policy/trust-principles/?form=MG0AV3
https://www.ibm.com/policy/wp-content/uploads/2018/06/IBM_Principles_SHORT.V4.3.pdf?form=MG0AV3","Principles: Augmentation, data ownership, transparency, explainability, fairness, robustness, privacy.
Values: Trust, responsibility, openness, security."," Trust, responsibility, openness, security.",,,N,Jobin,
D139,IndiaAI Portal,Hinrichs,2021.0,IndiaAI,India,IndiaAI - National AI Portal,"Principles: compute capacity, innovation centre, datasets platform, application development, futureskills, startup financing, safe & trusted AI
Values: fostering innovation, ethical AI development, accessibility, skill enhancement, trustworthiness"," fostering innovation, ethical AI development, accessibility, skill enhancement, trustworthiness",,,N,Hinrichs,
D140,Indian Institute of Science (IISc) Bangalore,Hinrichs,2023.0,"Committee on AI Tools for Education and Research
Centre for Networked Intelligence  ",India,"https://iisc.ac.in/about/student-corner/academic-integrity/
","Values:
Academic integrity, transparency, fairness and equity, privacy and data security, environmental responsibility

Principles:
Ethical use of AI, bias awareness and mitigation, human oversight in AI systems, accountability in AI-driven research, interdisciplinary collaboration","
Academic integrity, transparency, fairness and equity, privacy and data security, environmental responsibility

Principles:
Ethical use of AI, bias awareness and mitigation, human oversight in AI systems, accountability in AI-driven research, interdisciplinary collaboration",,,N,Hinrichs,
